pedido_id,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,data_efetivacao,order_bump,pedido_pai_ob,SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,dia_semana_compra,mes_compra,compra_fim_semana,valor_parcela,tem_order_bump,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,produtor_encoded,lancamento_encoded,segmento_encoded,categoria_risco_score_encoded,endereco_cep_encoded,endereco_estado_encoded,endereco_cidade_encoded,nascimento_encoded,modalidade_encoded,MENSAGEM_TIPO_REGISTRO_encoded
1945956,Produtor_0683,Lancamento_0232,Autoconhecimento,172.0,Alto,75860-000,GO,Cidade_4256,1990-07-16,35,Crédito Acessível,1792.8,12,2026-01-01 16:16:00,Desconhecido,0.0,613,3,618,99,100,1776,603,587,APTOS,3,1,0,149.4,0,1,8,549.875,0.9801980198019802,278,67,0,0,15981,9,2064,8325,1,0
1880217,Produtor_0504,Lancamento_4419,Mentoria,436.0,Médio,36202815,MG,Cidade_0525,1989-03-09,36,Crédito Acessível,1807.92,12,2026-01-01 16:21:00,Desconhecido,0.0,625,1,625,99,100,1766,596,569,APTOS,3,1,0,150.66,0,1,8,547.625,0.9801980198019802,212,1373,6,3,9274,11,256,7928,1,0
1945970,Produtor_0683,Lancamento_0232,Autoconhecimento,308.0,Médio,19940-061,SP,Cidade_2168,2002-11-09,23,Antecipação Produtor,1792.8,12,2026-01-01 17:13:00,Desconhecido,0.0,553,4,554,99,43,1500,534,507,APTOS,3,1,0,149.4,0,1,8,474.25,2.25,278,67,0,3,5643,27,1052,11643,0,0
1945976,Produtor_0103,Lancamento_0887,Empreendedor,845.0,Baixo,91787030,RS,Cidade_4138,1954-09-03,71,Crédito Acessível,312.64,2,2026-01-01 17:29:00,Desconhecido,0.0,625,4,519,2,92,3307,595,625,APTOS,3,1,0,156.32,0,1,8,721.125,0.021505376344086,45,295,3,1,19708,24,2010,183,1,0
1945739,Produtor_2068,Lancamento_4613,Autodesenvolvimento,581.0,Médio,98440-000,RS,Cidade_0957,1976-08-01,49,Crédito Acessível,989.16,12,2026-01-01 17:31:00,Desconhecido,0.0,702,1,643,99,999,1919,631,631,APTOS,3,1,0,82.42999999999999,0,1,8,703.125,0.099,875,1451,1,3,20542,24,484,4014,1,0
1944683,Produtor_1744,Lancamento_3792,Outros,292.0,Alto,33943-425,MG,Cidade_4394,1988-06-07,37,Crédito Acessível,1217.7,11,2026-01-01 17:48:00,Desconhecido,0.0,530,4,465,99,100,2907,493,432,APTOS,3,1,0,110.7,0,1,8,628.75,0.9801980198019802,737,1100,7,0,8771,11,2129,7699,1,0
1894643,Produtor_0504,Lancamento_4419,Mentoria,210.0,Alto,64130-000,PI,Cidade_3254,1990-07-25,35,Crédito Acessível,1828.31,11,2026-01-01 17:50:00,Desconhecido,0.0,539,3,533,99,0,1908,519,523,APTOS,3,1,0,166.21,0,1,8,515.5,99.0,212,1373,6,0,13234,18,1574,8332,1,0
1945979,Produtor_0804,Lancamento_4569,Mentoria,171.0,Alto,92325-422,RS,Cidade_1092,2004-06-19,21,Crédito Acessível,4343.8,12,2026-01-01 17:56:00,Desconhecido,0.0,430,1,395,99,0,794,442,442,APTOS,3,1,0,361.98333333333335,0,1,8,325.375,99.0,326,1433,6,0,19775,24,553,11952,1,0
1945795,Produtor_1485,Lancamento_1335,Mentoria,704.0,Baixo,36015001,MG,Cidade_2795,1963-07-10,62,Crédito Acessível,4315.2,12,2026-01-01 18:02:00,Desconhecido,0.0,596,7,546,99,63,5896,556,620,APTOS,3,1,0,359.6,0,1,8,1047.875,1.546875,627,437,6,1,9186,11,1365,1017,1,0
1945963,Produtor_0683,Lancamento_0232,Autoconhecimento,455.0,Médio,12606-330,SP,Cidade_2947,1963-09-23,62,Crédito Acessível,2988.0,12,2026-01-01 18:25:00,Desconhecido,0.0,625,6,625,99,100,6000,625,625,APTOS,3,1,0,249.0,0,1,8,1088.125,0.9801980198019802,278,67,0,3,3201,27,1437,1044,1,0
1945984,Produtor_1042,Lancamento_0270,Outros,432.0,Médio,08220-410,SP,Cidade_5362,1995-05-28,30,Crédito Acessível,1189.92,12,2026-01-01 18:31:00,Desconhecido,0.0,531,2,512,99,92,2167,508,526,APTOS,3,1,0,99.16,0,1,8,554.625,1.064516129032258,427,78,7,3,1974,27,2554,9745,1,0
1945488,Produtor_0351,Lancamento_0460,Outros,817.0,Baixo,78575-000,MT,Cidade_2787,1963-04-25,62,Crédito Acessível,1198.18,10,2026-01-01 18:54:00,Desconhecido,0.0,610,2,586,99,998,1813,635,684,APTOS,3,1,0,119.818,0,1,8,678.375,0.0990990990990991,159,158,7,1,16729,13,1360,983,1,0
1945989,Produtor_1079,Lancamento_0278,Outros,344.0,Médio,76901-478,RO,Cidade_2743,1981-09-16,44,Crédito Acessível,1215.72,6,2026-01-01 19:17:00,Desconhecido,0.0,520,1,509,99,14,5184,531,576,APTOS,3,1,0,202.62,0,1,8,929.25,6.6,450,80,7,3,16216,22,1341,5559,1,0
1868792,Produtor_1042,Lancamento_0270,Outros,207.0,Alto,30570-000,MG,Cidade_0618,1992-11-06,33,Crédito Acessível,1189.92,12,2026-01-01 19:28:00,Desconhecido,0.0,600,2,631,99,100,3953,589,529,APTOS,3,1,0,99.16,0,1,8,812.875,0.9801980198019802,427,78,7,0,8125,11,309,9015,1,0
1945993,Produtor_0683,Lancamento_0232,Autoconhecimento,428.0,Médio,73778-000,GO,Cidade_0013,1976-08-06,49,Antecipação Produtor,2121.12,13,2026-01-01 19:29:00,Desconhecido,0.0,659,2,655,99,998,1792,644,698,APTOS,3,1,0,163.16307692307691,0,1,8,693.375,0.0990990990990991,278,67,0,3,15395,9,3,4018,0,0
1944924,Produtor_0683,Lancamento_0232,Autoconhecimento,351.0,Médio,37800-000,MG,Cidade_2121,1984-12-31,41,Crédito Acessível,2988.0,12,2026-01-01 19:49:00,Desconhecido,0.0,625,1,625,99,0,5674,599,560,APTOS,3,1,0,249.0,0,1,8,1022.875,99.0,278,67,0,3,9596,11,1034,6615,1,0
1946002,Produtor_0683,Lancamento_0232,Autoconhecimento,730.0,Baixo,13323-111,SP,Cidade_4506,1985-01-11,41,Antecipação Produtor,1792.8,12,2026-01-01 19:59:00,Desconhecido,0.0,725,3,760,2,100,21225,733,764,APTOS,3,1,0,149.4,0,1,8,3039.0,0.0198019801980198,278,67,0,1,3819,27,2192,6624,0,0
1946004,Produtor_1774,Lancamento_4693,Autoconhecimento,517.0,Médio,93700000,RS,Cidade_1025,1995-12-20,30,Crédito Acessível,264.18,3,2026-01-01 20:08:00,Desconhecido,0.0,694,4,722,99,100,5148,694,685,APTOS,3,1,0,88.06,0,1,8,1018.25,0.9801980198019802,749,1479,0,3,19923,24,518,9910,1,0
1944963,Produtor_0728,Lancamento_0650,Autodesenvolvimento,182.0,Alto,96503-776,RS,Cidade_0920,1978-12-07,47,Crédito Acessível,2601.06,6,2026-01-01 20:14:00,Desconhecido,0.0,522,1,465,99,90,6545,522,503,APTOS,3,1,0,433.51,0,1,8,1093.375,1.0879120879120878,299,233,1,0,20385,24,464,4703,1,0
1946005,Produtor_0280,Lancamento_0389,Outros,428.0,Médio,78053734,MT,Cidade_1539,1994-12-18,31,Crédito Acessível,989.16,12,2026-01-01 20:15:00,Desconhecido,0.0,636,1,652,99,75,4322,582,505,APTOS,3,1,0,82.42999999999999,0,1,8,859.0,1.3026315789473684,118,126,7,3,16488,13,772,9617,1,0
1945994,Produtor_0111,Lancamento_3912,Emagrecimento,232.0,Alto,64490-000,PI,Cidade_4338,2001-12-29,24,Crédito Acessível,556.71,7,2026-01-01 20:19:00,Desconhecido,0.0,522,2,585,99,51,1845,508,497,APTOS,3,1,0,79.53,0,1,8,513.625,1.9038461538461533,50,1145,2,0,13270,18,2107,11466,1,0
1946007,Produtor_0288,Lancamento_2194,Empreendedor,365.0,Médio,11325-110,SP,Cidade_5387,1961-04-29,64,Crédito Acessível,559.44,6,2026-01-01 20:50:00,Desconhecido,0.0,591,1,575,99,100,1745,613,625,APTOS,3,1,0,93.24,0,1,8,543.625,0.9801980198019802,122,644,3,3,2636,27,2579,716,1,0
1944987,Produtor_0859,Lancamento_2148,Empreendedor,317.0,Médio,08830-765,SP,Cidade_3306,1981-09-13,44,Crédito Acessível,1196.58,6,2026-01-01 21:39:00,Desconhecido,0.0,625,1,604,99,25,4483,535,579,APTOS,3,1,0,199.43,0,1,8,868.875,3.807692307692308,345,610,3,3,2224,27,1602,5556,1,0
1946017,Produtor_0103,Lancamento_0887,Empreendedor,200.0,Alto,79116-482,MS,Cidade_1031,1982-04-15,43,Crédito Acessível,312.64,2,2026-01-01 21:51:00,Desconhecido,0.0,625,2,625,2,90,7497,625,625,APTOS,3,1,0,156.32,0,1,8,1261.375,0.0219780219780219,45,295,3,0,17021,12,522,5750,1,0
1945559,Produtor_1925,Lancamento_2365,Outros,247.0,Alto,89809-874,SC,Cidade_1302,1987-10-16,38,Crédito Acessível,877.91,11,2026-01-01 21:51:00,Desconhecido,0.0,531,1,517,99,40,1998,510,514,APTOS,3,1,0,79.81,0,1,8,526.25,2.414634146341464,812,703,7,0,19470,25,658,7488,1,0
856693,Produtor_0683,Lancamento_0232,Autoconhecimento,161.0,Alto,21853053,RJ,Cidade_4446,1975-08-27,50,Crédito Acessível,2988.0,12,2026-01-01 21:54:00,Desconhecido,0.0,573,3,509,2,80,28575,511,500,APTOS,3,1,0,249.0,0,1,8,3844.125,0.0246913580246913,278,67,0,0,6059,20,2165,3756,1,0
1946018,Produtor_1446,Lancamento_3392,Outros,296.0,Alto,39300-000,MG,Cidade_5267,1998-05-28,27,Crédito Acessível,347.32,4,2026-01-01 21:54:00,Desconhecido,0.0,540,3,552,99,25,1494,540,535,APTOS,3,1,0,86.83,0,1,8,473.5,3.807692307692308,612,1022,7,0,9980,11,2459,10595,1,0
1946022,Produtor_0103,Lancamento_0887,Empreendedor,Desconhecido,Desconhecido,05707-001,SP,Cidade_5362,1977-02-18,48,Crédito Acessível,312.64,2,2026-01-01 22:15:00,Desconhecido,0.0,638,2,742,2,100,43736,683,607,APTOS,3,1,0,156.32,0,1,8,5813.75,0.0198019801980198,45,295,3,2,1210,27,2554,4175,1,0
1946023,Produtor_2048,Lancamento_4940,Mentoria,222.0,Alto,49045250,SE,Cidade_0293,1973-09-21,52,Crédito Acessível,1773.72,9,2026-01-01 22:29:00,Desconhecido,0.0,625,3,625,99,63,9406,625,625,APTOS,3,1,0,197.08,0,1,8,1508.875,1.546875,866,1543,6,0,11273,26,135,3209,1,0
1902165,Produtor_0111,Lancamento_3912,Emagrecimento,292.0,Alto,36610-000,MG,Cidade_3944,1994-03-29,31,Crédito Acessível,687.51,9,2026-01-01 22:43:00,Desconhecido,0.0,525,2,490,99,53,2722,534,550,APTOS,3,1,0,76.39,0,1,8,621.875,1.8333333333333333,50,1145,2,0,9365,11,1911,9405,1,0
1946026,Produtor_1042,Lancamento_0270,Outros,571.0,Médio,06330-000,SP,Cidade_1154,1987-01-07,39,Crédito Acessível,1189.92,12,2026-01-01 23:03:00,Desconhecido,0.0,645,7,595,99,90,6768,582,566,APTOS,3,1,0,99.16,0,1,8,1169.0,1.0879120879120878,427,78,7,3,1403,27,585,7248,1,0
1946027,Produtor_1513,Lancamento_0513,Outros,467.0,Médio,04112-011,SP,Cidade_5362,1985-03-05,40,Crédito Acessível,1365.28,2,2026-01-01 23:09:00,Desconhecido,0.0,625,1,625,2,100,4858,625,551,APTOS,3,1,0,682.64,0,1,8,923.375,0.0198019801980198,640,179,7,3,703,27,2554,6670,1,0
1845468,Produtor_0504,Lancamento_4419,Mentoria,141.0,Alto,76963-726,RO,Cidade_0930,2001-05-25,24,Crédito Acessível,1807.92,12,2026-01-02 00:17:00,Desconhecido,0.0,432,1,433,99,12,3500,488,506,APTOS,4,1,0,150.66,0,1,8,683.875,7.615384615384615,212,1373,6,0,16250,22,470,11333,1,0
1946035,Produtor_1079,Lancamento_0283,Outros,163.0,Alto,02809-080,SP,Cidade_5362,1983-03-18,42,Crédito Acessível,2230.56,12,2026-01-02 01:36:00,Desconhecido,0.0,553,1,461,99,70,3500,526,510,APTOS,4,1,0,185.88,0,1,8,715.0,1.3943661971830985,450,83,7,0,280,27,2554,6054,1,0
1946039,Produtor_0683,Lancamento_0232,Autoconhecimento,283.0,Alto,30670-050,MG,Cidade_0462,1976-05-21,49,Crédito Acessível,1792.8,12,2026-01-02 06:04:00,Desconhecido,0.0,625,1,587,99,100,2480,595,576,APTOS,4,1,0,149.4,0,1,8,632.875,0.9801980198019802,278,67,0,0,8189,11,224,3957,1,0
1945838,Produtor_0351,Lancamento_0459,Outros,692.0,Baixo,71687-684,DF,Cidade_0764,1972-12-25,53,Crédito Acessível,1485.57,12,2026-01-02 06:34:00,Desconhecido,0.0,625,7,625,2,76,12643,625,625,APTOS,4,1,0,123.7975,0,1,8,1903.5,0.0259740259740259,159,157,7,1,14779,7,377,3019,1,0
1946042,Produtor_0683,Lancamento_0232,Autoconhecimento,254.0,Alto,89270000,SC,Cidade_2087,1995-03-06,30,Antecipação Produtor,1792.8,12,2026-01-02 06:35:00,Desconhecido,0.0,596,1,601,99,60,1932,558,536,APTOS,4,1,0,149.4,0,1,8,547.875,1.6229508196721312,278,67,0,0,19328,25,1018,9680,0,0
1833222,Produtor_0416,Lancamento_2169,Outros,240.0,Alto,87180-000,PR,Cidade_4215,1997-08-15,28,Crédito Acessível,3723.24,12,2026-01-02 06:35:00,Desconhecido,0.0,510,1,496,99,100,1995,467,448,APTOS,4,1,0,310.27,0,1,8,514.5,0.9801980198019802,179,631,7,0,18417,19,2045,10385,1,0
1892088,Produtor_1958,Lancamento_3690,Empreendedor,312.0,Médio,39402738,MG,Cidade_3346,1968-06-01,57,Crédito Acessível,2113.44,12,2026-01-02 06:35:00,Desconhecido,0.0,568,8,487,2,98,10702,563,625,APTOS,4,1,0,176.12,0,1,8,1631.625,0.0202020202020202,826,1060,3,3,10027,11,1620,1904,1,0
1906022,Produtor_0416,Lancamento_2870,Outros,44.0,Alto,14840-007,SP,Cidade_2110,1999-06-13,26,Crédito Acessível,4343.76,12,2026-01-02 06:36:00,Desconhecido,0.0,526,1,525,99,73,2074,528,490,APTOS,4,1,0,361.98,0,1,8,539.5,1.337837837837838,179,867,7,0,4585,27,1030,10857,1,0
1945415,Produtor_0683,Lancamento_0232,Autoconhecimento,292.0,Alto,73020012,DF,Cidade_0764,1956-06-28,69,Antecipação Produtor,2988.0,12,2026-01-02 06:37:00,Desconhecido,0.0,511,6,459,2,100,9501,466,557,APTOS,4,1,0,249.0,0,1,8,1450.25,0.0198019801980198,278,67,0,0,15311,7,377,274,0,0
1945852,Produtor_1550,Lancamento_0500,Autodesenvolvimento,286.0,Alto,18401-000,SP,Cidade_2502,1996-05-17,29,Crédito Acessível,3225.36,12,2026-01-02 06:37:00,Desconhecido,0.0,651,1,599,99,77,4131,587,558,APTOS,4,1,0,268.78000000000003,0,1,8,837.875,1.2692307692307692,656,172,1,0,5403,27,1217,10025,1,0
1945724,Produtor_1651,Lancamento_4550,Outros,218.0,Alto,75650-000,GO,Cidade_3359,1996-12-26,29,Crédito Acessível,1361.52,12,2026-01-02 06:37:00,Desconhecido,0.0,483,1,500,99,82,1621,502,521,APTOS,4,1,0,113.46,0,1,8,476.125,1.1927710843373494,696,1424,7,0,15899,9,1625,10205,1,0
1945738,Produtor_2068,Lancamento_4613,Autodesenvolvimento,555.0,Médio,74630-280,GO,Cidade_2012,1993-06-08,32,Crédito Acessível,853.26,3,2026-01-02 06:38:00,Desconhecido,0.0,531,2,508,99,73,1800,590,625,APTOS,4,1,0,284.42,0,1,8,528.5,1.337837837837838,875,1451,1,3,15598,9,982,9184,1,0
1945742,Produtor_2068,Lancamento_4613,Autodesenvolvimento,233.0,Alto,4376110,SP,Cidade_5362,1983-07-14,42,Crédito Acessível,973.39,11,2026-01-02 06:38:00,Desconhecido,0.0,604,1,560,99,84,4676,527,499,APTOS,4,1,0,88.49,0,1,8,881.25,1.1647058823529413,875,1451,1,0,10580,27,2554,6158,1,0
1940927,Produtor_1709,Lancamento_2158,Autoconhecimento,343.0,Médio,12227300,SP,Cidade_5309,1996-04-30,29,Crédito Acessível,2482.2,12,2026-01-02 06:40:00,Desconhecido,0.0,625,7,619,99,75,7476,611,625,APTOS,4,1,0,206.85,0,1,8,1267.125,1.3026315789473684,721,620,0,3,2991,27,2501,10010,1,0
1942958,Produtor_0300,Lancamento_0321,Financeiro,57.0,Alto,78110115,MT,Cidade_5877,1996-10-23,29,Crédito Acessível,1067.4,3,2026-01-02 06:41:00,Desconhecido,0.0,625,1,625,99,100,1983,625,617,APTOS,4,1,0,355.8,0,1,8,584.375,0.9801980198019802,128,103,4,0,16556,13,2810,10155,1,0
