SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,score,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,segmento_encoded,modalidade_encoded,endereco_estado_encoded,endereco_cidade_encoded,endereco_cep_encoded,lancamento_encoded,produtor_encoded,MENSAGEM_TIPO_REGISTRO_encoded,categoria_risco_score_encoded,idade_encoded,nascimento_encoded,pedido_id
619,2,611,99,94,4157.0,599,595,254.0,3723.24,12.0,3.0,1,1,0,310.27,1,8,847.0,1.0421052631578946,2,1,5,59,4563,42820,3772,1755,0,0,65,20223,1936923
611,3,625,99,100,1765.0,600,562,342.0,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,545.625,0.9801980198019802,1,1,5,51,3027,56621,4009,1802,0,2,58,25396,1945945
625,2,577,99,100,7684.0,597,616,180.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,1287.5,0.9801980198019802,2,0,5,174,1226,20299,231,682,0,0,78,11498,749998
703,1,651,99,100,1890.0,646,624,581.0,1175.88,12.0,3.0,1,1,0,97.99,1,8,589.25,0.9801980198019802,1,0,5,123,2271,56437,4105,1644,0,2,63,21564,1944590
529,3,555,99,100,4632.0,528,473,224.0,5721.94,7.0,3.0,1,1,0,817.42,1,8,864.875,0.9801980198019802,2,1,5,123,42,56047,3724,395,0,0,74,14588,1945229
672,3,617,99,100,1950.0,627,571,619.0,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,579.875,0.9801980198019802,1,1,5,174,4876,941,4009,1802,0,2,68,18666,1945955
543,2,584,99,9,15490.0,521,513,351.0,1189.92,12.0,3.0,1,1,0,99.16,1,8,2220.125,9.9,1,8,5,129,1554,69672,269,1041,0,2,83,8553,1945961
613,3,618,99,100,1776.0,603,587,172.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,549.875,0.9801980198019802,2,0,5,90,4255,64642,231,682,0,0,65,20452,1945956
625,1,625,99,100,1766.0,596,569,436.0,1807.92,12.0,3.0,1,1,0,150.66,1,8,547.625,0.9801980198019802,1,7,5,104,524,38333,3931,503,0,2,66,19563,1880217
553,4,554,99,43,1500.0,534,507,308.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,474.25,2.25,1,0,1,174,2167,23561,231,682,0,2,53,28187,1945970
625,4,519,2,92,3307.0,595,625,845.0,312.64,2.0,3.0,1,1,0,156.32,1,8,721.125,0.021505376344086,0,4,5,152,4137,79905,886,102,0,1,101,828,1945976
702,1,643,99,999,1919.0,631,631,581.0,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,703.125,0.099,1,1,5,152,956,83421,4009,1802,0,2,79,11053,1945739
530,4,465,99,100,2907.0,493,432,292.0,1217.7,11.0,3.0,1,1,0,110.7,1,8,628.75,0.9801980198019802,2,8,5,104,4393,36226,3658,1664,0,0,67,19059,1944683
539,3,533,99,0,1908.0,519,523,210.0,1828.31,11.0,3.0,1,1,0,166.21,1,8,515.5,99.0,2,7,5,128,3253,53396,3931,503,0,0,65,20468,1894643
430,1,395,99,0,794.0,442,442,171.0,4343.8,12.0,3.0,1,1,0,361.98333333333335,1,8,325.375,99.0,2,7,5,152,1091,80182,3991,803,0,0,51,29020,1945979
596,7,546,99,63,5896.0,556,620,704.0,4315.2,12.0,3.0,1,1,0,359.6,1,8,1047.875,1.546875,0,7,5,104,2794,37977,1334,1484,0,1,92,3536,1945795
625,6,625,99,100,6000.0,625,625,455.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,1088.125,0.9801980198019802,1,0,5,174,2946,13145,231,682,0,2,92,3627,1945963
531,2,512,99,92,2167.0,508,526,432.0,1189.92,12.0,3.0,1,1,0,99.16,1,8,554.625,1.064516129032258,1,8,5,174,4876,7910,269,1041,0,2,60,23648,1945984
610,2,586,99,998,1813.0,635,684,817.0,1198.18,10.0,3.0,1,1,0,119.818,1,8,678.375,0.0990990990990991,0,8,5,108,2786,67704,459,350,0,1,92,3441,1945488
520,1,509,99,14,5184.0,531,576,344.0,1215.72,6.0,3.0,1,1,0,202.62,1,8,929.25,6.6,1,8,5,150,2742,65495,277,1078,0,2,74,14465,1945989
600,2,631,99,100,3953.0,589,529,207.0,1189.92,12.0,3.0,1,1,0,99.16,1,8,812.875,0.9801980198019802,2,8,5,104,617,33521,269,1041,0,0,63,21985,1868792
659,2,655,99,998,1792.0,644,698,428.0,2121.12,13.0,3.0,1,1,0,163.16307692307691,1,8,693.375,0.0990990990990991,1,0,1,90,12,61924,231,682,0,2,79,11062,1945993
625,1,625,99,0,5674.0,599,560,351.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,1022.875,99.0,1,0,5,104,2120,39659,231,682,0,2,71,16723,1944924
725,3,760,2,100,21225.0,733,764,730.0,1792.8,12.0,3.0,1,1,0,149.4,1,8,3039.0,0.0198019801980198,0,0,1,174,4505,15830,231,682,0,1,71,16743,1946002
694,4,722,99,100,5148.0,694,685,517.0,264.18,3.0,3.0,1,1,0,88.06,1,8,1018.25,0.9801980198019802,1,0,5,152,1024,80893,4037,1676,0,2,60,24019,1946004
522,1,465,99,90,6545.0,522,503,182.0,2601.06,6.0,3.0,1,1,0,433.51,1,8,1093.375,1.0879120879120878,2,1,5,152,919,82727,649,727,0,0,77,12598,1944963
636,1,652,99,75,4322.0,582,505,428.0,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,859.0,1.3026315789473684,1,8,5,108,1538,66655,388,279,0,2,61,23359,1946005
522,2,585,99,51,1845.0,508,497,232.0,556.71,7.0,3.0,1,1,0,79.53,1,8,513.625,1.9038461538461533,2,3,5,128,4337,53535,3703,110,0,0,54,27715,1945994
591,1,575,99,100,1745.0,613,625,365.0,559.44,6.0,3.0,1,1,0,93.24,1,8,543.625,0.9801980198019802,1,4,5,174,4901,10788,2193,287,0,2,94,2626,1946007
625,1,604,99,25,4483.0,535,579,317.0,1196.58,6.0,3.0,1,1,0,199.43,1,8,868.875,3.807692307692308,1,4,5,174,3305,9032,2147,858,0,2,74,14459,1944987
625,2,625,2,90,7497.0,625,625,200.0,312.64,2.0,3.0,1,1,0,156.32,1,8,1261.375,0.0219780219780219,2,4,5,107,1030,68912,886,102,0,0,73,14867,1946017
531,1,517,99,40,1998.0,510,514,247.0,877.91,11.0,3.0,1,1,0,79.81,1,8,526.25,2.414634146341464,2,8,5,172,1301,78884,2364,1739,0,0,68,18613,1945559
573,3,509,2,80,28575.0,511,500,161.0,2988.0,12.0,3.0,1,1,0,249.0,1,8,3844.125,0.0246913580246913,2,0,5,148,4445,25199,231,682,0,0,80,10457,856693
540,3,552,99,25,1494.0,540,535,296.0,347.32,4.0,3.0,1,1,0,86.83,1,8,473.5,3.807692307692308,2,8,5,104,4781,41305,3391,1445,0,0,57,25590,1946018
638,2,742,2,100,43736.0,683,607,287.0,312.64,2.0,3.0,1,1,0,156.32,1,8,5813.75,0.0198019801980198,-1,4,5,174,4876,4594,886,102,0,3,78,11413,1946022
625,3,625,99,63,9406.0,625,625,222.0,1773.72,9.0,3.0,1,1,0,197.08,1,8,1508.875,1.546875,2,7,5,173,292,45911,4101,1793,0,0,82,9212,1946023
525,2,490,99,53,2722.0,534,550,292.0,687.51,9.0,3.0,1,1,0,76.39,1,8,621.875,1.8333333333333333,2,3,5,104,3943,38750,3703,110,0,0,61,22883,1902165
645,7,595,99,90,6768.0,582,566,571.0,1189.92,12.0,3.0,1,1,0,99.16,1,8,1169.0,1.0879120879120878,1,8,5,174,1153,5457,269,1041,0,2,69,18092,1946026
625,1,625,2,100,4858.0,625,551,467.0,1365.28,2.0,3.0,1,1,0,682.64,1,8,923.375,0.0198019801980198,1,8,5,174,4876,2591,512,1512,0,2,70,16842,1946027
432,1,433,99,12,3500.0,488,506,141.0,1807.92,12.0,4.0,1,2,0,150.66,1,8,683.875,7.615384615384615,2,7,5,150,929,65630,3931,503,0,0,54,27382,1845468
553,1,461,99,70,3500.0,526,510,163.0,2230.56,12.0,4.0,1,2,0,185.88,1,8,715.0,1.3943661971830985,2,8,5,174,4876,1026,282,1078,0,0,72,15508,1946035
625,1,587,99,100,2480.0,595,576,283.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,632.875,0.9801980198019802,2,0,5,104,461,33754,231,682,0,0,79,10924,1946039
625,7,625,2,76,12643.0,625,625,692.0,1485.57,12.0,4.0,1,2,0,123.7975,1,8,1903.5,0.0259740259740259,0,8,5,75,763,59410,458,350,0,1,83,8755,1945838
596,1,601,99,60,1932.0,558,536,254.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,547.875,1.6229508196721312,2,0,1,172,2086,78445,231,682,0,0,60,23500,1946042
510,1,496,99,100,1995.0,467,448,240.0,3723.24,12.0,4.0,1,2,0,310.27,1,8,514.5,0.9801980198019802,2,8,5,129,4214,74622,2168,415,0,0,58,25096,1833222
568,8,487,2,98,10702.0,563,625,312.0,2113.44,12.0,4.0,1,2,0,176.12,1,8,1631.625,0.0202020202020202,1,4,5,104,3345,41514,3618,1753,0,2,87,6015,1892088
526,1,525,99,73,2074.0,528,490,44.0,4343.76,12.0,4.0,1,2,0,361.98,1,8,539.5,1.337837837837838,2,8,5,174,2109,19357,2869,415,0,0,56,26228,1906022
511,6,459,2,100,9501.0,466,557,292.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,1450.25,0.0198019801980198,2,0,1,75,763,61606,231,682,0,0,99,1173,1945415
651,1,599,99,77,4131.0,587,558,286.0,3225.36,12.0,4.0,1,2,0,268.78000000000003,1,8,837.875,1.2692307692307692,2,1,5,174,2501,22557,499,1549,0,0,59,24283,1945852
483,1,500,99,82,1621.0,502,521,218.0,1361.52,12.0,4.0,1,2,0,113.46,1,8,476.125,1.1927710843373494,2,8,5,90,3358,64304,3982,1623,0,0,59,24685,1945724
531,2,508,99,73,1800.0,590,625,555.0,853.26,3.0,4.0,1,2,0,284.42,1,8,528.5,1.337837837837838,1,1,5,90,2011,62948,4009,1802,0,2,62,22368,1945738
604,1,560,99,84,4676.0,527,499,233.0,973.39,11.0,4.0,1,2,0,88.49,1,8,881.25,1.1647058823529413,2,1,5,174,4876,43575,4009,1802,0,0,72,15730,1945742
625,7,619,99,75,7476.0,611,625,343.0,2482.2,12.0,4.0,1,2,0,206.85,1,8,1267.125,1.3026315789473684,1,0,5,174,4823,12307,2157,1648,0,2,59,24251,1940927
625,1,625,99,100,1983.0,625,617,57.0,1067.4,3.0,4.0,1,2,0,355.8,1,8,584.375,0.9801980198019802,2,5,5,108,5132,67054,320,299,0,0,59,24571,1942958
625,7,625,99,100,699.0,625,625,364.0,824.22,9.0,4.0,1,2,0,91.58,1,8,425.625,0.9801980198019802,1,8,5,59,2498,44762,3437,214,0,2,80,10512,1726099
594,7,538,99,100,4776.0,552,585,300.0,1719.18,9.0,4.0,1,2,0,191.02,1,8,906.375,0.9801980198019802,2,0,5,172,118,76873,231,682,0,0,76,13130,1944671
773,2,720,99,81,3996.0,702,690,606.0,2396.04,12.0,4.0,1,2,0,199.67,1,8,882.875,1.2073170731707317,1,0,5,174,411,23432,411,585,0,2,66,19757,1946050
519,2,600,99,56,1996.0,562,516,206.0,2562.99,10.0,4.0,1,2,0,256.299,1,8,543.75,1.736842105263158,2,1,5,174,1623,10312,4069,561,0,0,68,18354,1945705
610,3,622,99,46,1703.0,595,625,438.0,1241.04,12.0,4.0,1,2,0,103.42,1,8,537.875,2.106382978723404,1,8,5,149,3430,50431,627,1706,0,2,56,26523,1945924
625,4,606,99,80,4443.0,592,622,381.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,883.875,1.2222222222222223,1,0,1,174,15,16732,231,682,0,2,81,9454,1946053
625,2,625,99,100,2396.0,623,622,325.0,2730.36,12.0,4.0,1,2,0,227.53,1,8,636.5,0.9801980198019802,1,8,5,102,4852,54099,424,1890,0,2,74,14660,1853221
601,2,482,2,87,12253.0,543,541,313.0,1736.14,12.0,4.0,1,2,0,144.67833333333334,1,8,1813.875,0.0227272727272727,1,8,5,59,4563,42697,184,47,0,2,88,5458,1946055
599,1,568,99,39,6598.0,548,571,339.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,1127.875,2.475,1,0,1,174,4756,332,231,682,0,2,70,17239,1946067
511,2,444,99,71,500.0,495,493,210.0,4906.96,13.0,4.0,1,2,0,377.4584615384616,1,8,326.875,1.375,2,8,5,152,2532,83290,3756,633,0,0,62,22453,1944906
681,2,668,99,100,4432.0,681,696,681.0,264.18,3.0,4.0,1,2,0,88.06,1,8,919.875,0.9801980198019802,0,0,5,174,4876,24948,4037,1676,0,1,81,9713,1946054
558,1,569,99,100,1521.0,574,500,670.0,540.0,4.0,4.0,1,2,0,135.0,1,8,490.25,0.9801980198019802,0,3,5,104,2068,41731,3786,1166,0,1,58,25138,1945959
625,1,625,99,68,2690.0,625,610,269.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,667.875,1.434782608695652,2,0,1,148,4878,31130,231,682,0,0,79,11308,1941544
688,1,673,2,99,5895.0,631,552,652.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,1067.625,0.02,0,0,1,172,3435,76829,231,682,0,1,77,12066,1946071
676,9,701,99,100,2379.0,652,682,943.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,662.25,0.9801980198019802,0,0,1,174,4756,1859,231,682,0,1,88,5703,1946068
609,2,675,99,998,3082.0,619,569,518.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,831.625,0.0990990990990991,1,0,1,104,2193,40192,231,682,0,2,68,18605,1946076
726,1,662,99,91,7654.0,660,631,636.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,1315.5,1.076086956521739,1,0,1,104,461,34262,231,682,0,2,69,17587,1946072
577,1,528,99,998,7483.0,577,594,501.0,1613.4,12.0,4.0,1,2,0,134.45000000000002,1,8,1357.125,0.0990990990990991,1,0,5,59,3517,44075,3730,1812,0,2,60,23540,1946082
573,2,528,99,18,2936.0,568,576,186.0,569.8,7.0,4.0,1,2,0,81.39999999999999,1,8,662.5,5.2105263157894735,2,3,5,174,4736,21829,3974,1665,0,0,69,17732,1946080
538,1,493,99,13,2187.0,519,451,172.0,1237.32,12.0,4.0,1,2,0,103.11,1,8,537.625,7.071428571428571,2,3,5,81,5115,31808,3766,1166,0,0,70,17097,1946084
658,7,691,2,100,10992.0,693,762,781.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,1738.125,0.0198019801980198,0,0,1,174,4756,2689,231,682,0,1,78,11594,1945923
596,5,562,99,45,2567.0,549,504,133.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,615.875,2.152173913043478,2,0,5,174,598,20916,231,682,0,0,82,9313,1946079
592,4,583,99,61,2278.0,572,563,231.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,594.0,1.596774193548387,2,0,5,148,2494,30579,231,682,0,0,53,28179,1945515
516,5,469,99,48,10800.0,550,569,451.0,523.16,2.0,4.0,1,2,0,261.58,1,8,1632.0,2.020408163265306,1,4,5,148,3974,28486,2193,287,0,2,86,6883,1946086
736,3,725,99,100,3714.0,712,717,734.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,850.75,0.9801980198019802,0,0,1,174,2833,16883,231,682,0,1,73,14863,1946094
527,6,568,99,27,5578.0,538,521,742.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,983.0,3.5357142857142856,0,0,1,174,3611,5089,231,682,0,1,67,18987,1946085
489,2,498,99,93,2253.0,586,612,586.0,960.96,12.0,4.0,1,2,0,80.08,1,8,579.0,1.053191489361702,1,8,5,104,3794,39542,3930,754,0,2,53,27961,1946100
596,1,631,99,100,1507.0,634,650,2.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,527.25,0.9801980198019802,2,0,5,104,1395,37837,231,682,0,0,58,25349,1946101
780,1,660,2,85,7164.0,574,642,403.0,550.25,5.0,4.0,1,2,0,110.05,1,8,1238.5,0.0232558139534883,1,4,5,172,3435,76806,2193,287,0,2,76,12779,1946111
666,10,603,99,99,4459.0,581,594,824.0,1577.85,3.0,4.0,1,2,0,525.9499999999999,1,8,888.875,0.99,0,0,5,174,3652,5382,231,682,0,1,80,10555,1946103
683,1,754,2,96,15811.0,694,658,786.0,2396.04,12.0,4.0,1,2,0,199.67,1,8,2337.375,0.0206185567010309,0,0,5,174,1014,14275,411,585,0,1,76,12708,1945417
588,2,545,99,100,1460.0,533,539,568.0,439.5,5.0,4.0,1,2,0,87.9,1,8,483.25,0.9801980198019802,1,1,5,149,4580,50610,746,1730,0,2,0,30021,1936390
577,6,614,99,999,1916.0,583,574,293.0,432.24,4.0,4.0,1,2,0,108.06,1,8,671.0,0.099,2,1,5,123,3111,56155,746,1730,0,0,47,29686,1946121
519,2,553,99,999,3400.0,518,514,223.0,1019.76,12.0,4.0,1,2,0,84.98,1,8,825.5,0.099,2,8,5,150,5116,65738,3722,752,0,0,53,27999,1944619
532,1,611,99,999,1700.0,508,484,223.0,5121.93,17.0,4.0,1,2,0,301.29,1,8,616.75,0.099,2,8,5,174,4876,42845,3875,49,0,0,77,12603,1945982
549,1,466,99,998,995.0,537,525,239.0,4964.28,12.0,4.0,1,2,0,413.69,1,8,521.25,0.0990990990990991,2,4,5,129,4626,73288,3056,1641,0,0,65,20663,1946127
506,2,530,99,93,1155.0,531,488,329.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,425.5,1.053191489361702,1,0,1,104,693,37430,231,682,0,2,56,26208,1946124
751,5,686,99,91,6362.0,671,669,766.0,549.0,6.0,4.0,1,2,0,91.5,1,8,1166.75,1.076086956521739,0,3,5,75,763,58591,3703,110,0,1,75,13507,1946120
528,1,524,99,61,1690.0,500,451,328.0,3971.4,12.0,4.0,1,2,0,330.95,1,8,481.75,1.596774193548387,1,8,5,104,3345,41495,2404,323,0,2,64,20969,1946106
538,1,563,99,0,1617.0,541,562,177.0,5655.64,13.0,4.0,1,2,0,435.0492307692308,1,8,490.125,99.0,2,8,5,148,4445,24018,924,0,0,0,82,8964,1945131
498,3,443,99,998,2532.0,482,427,289.0,1696.56,12.0,4.0,1,2,0,141.38,1,8,685.25,0.0990990990990991,2,8,5,148,4445,25995,1589,1707,0,0,65,20682,1946122
706,4,737,99,100,2527.0,679,705,710.0,989.16,12.0,4.0,1,2,0,82.42999999999999,1,8,694.625,0.9801980198019802,0,1,5,75,763,59685,4009,1802,0,1,67,18842,1946128
598,4,625,99,94,4239.0,625,625,643.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,863.625,1.0421052631578946,1,0,1,150,2617,65538,231,682,0,2,92,3577,1945772
643,10,580,2,100,25035.0,587,590,624.0,541.12,4.0,4.0,1,2,0,135.28,1,8,3443.375,0.0198019801980198,1,3,5,174,4876,1291,945,123,0,2,0,30021,1941897
625,9,567,2,83,12339.0,605,625,214.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,1856.875,0.0238095238095238,2,0,5,129,1554,70447,231,682,0,0,77,12611,1945518
779,2,717,2,100,9836.0,694,675,828.0,1719.18,9.0,4.0,1,2,0,191.02,1,8,1600.625,0.0198019801980198,0,0,1,102,4852,54028,231,682,0,1,71,16270,1946141
707,9,732,2,100,6721.0,707,715,784.0,264.18,3.0,4.0,1,2,0,88.06,1,8,1211.625,0.0198019801980198,0,0,5,129,1032,71748,4037,1676,0,1,76,13059,1946140
563,1,575,99,998,2284.0,532,572,186.0,439.5,5.0,4.0,1,2,0,87.9,1,8,703.0,0.0990990990990991,2,8,5,174,4400,21553,582,1813,0,0,55,26818,1827780
585,1,625,99,100,1798.0,568,509,342.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,535.625,0.9801980198019802,1,0,1,104,693,37430,231,682,0,2,63,22028,1946145
625,1,625,99,100,2516.0,625,625,433.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,652.0,0.9801980198019802,1,0,1,174,4876,8070,231,682,0,2,70,16903,1946144
670,1,629,99,91,2506.0,615,586,289.0,1277.1,9.0,4.0,1,2,0,141.89999999999998,1,8,649.625,1.076086956521739,2,8,5,174,4876,4836,277,1078,0,0,61,22951,1944473
704,4,651,99,90,1759.0,662,674,694.0,7446.48,12.0,4.0,1,2,0,620.54,1,8,580.375,1.0879120879120878,0,7,5,90,3358,64304,3813,1686,0,1,55,26875,1946134
567,2,554,99,100,2576.0,523,518,231.0,2195.16,11.0,4.0,1,2,0,199.56,1,8,617.375,0.9801980198019802,2,8,5,102,4852,53689,282,1078,0,0,67,19108,1946015
591,10,625,99,100,5296.0,625,625,764.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,996.375,0.9801980198019802,0,0,1,172,1092,78564,231,682,0,1,102,626,1946148
614,4,625,99,89,2337.0,625,603,346.0,541.35,5.0,4.0,1,2,0,108.27,1,8,624.5,1.1,1,3,5,129,2943,73536,3703,110,0,2,69,17836,1946150
509,1,428,99,18,2671.0,513,539,225.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,597.25,5.2105263157894735,2,0,5,174,3699,16458,231,682,0,0,71,16268,1946104
449,1,448,99,998,3210.0,502,498,196.0,497.1,5.0,4.0,1,2,0,99.42,1,8,775.625,0.0990990990990991,2,3,5,104,2233,35367,375,1866,0,0,70,17434,1946153
707,1,814,99,100,1031.0,754,681,875.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,523.375,0.9801980198019802,0,0,1,174,1014,13698,231,682,0,1,83,8741,1946152
625,1,617,99,100,1798.0,601,530,667.0,1792.8,12.0,4.0,1,2,0,149.4,1,8,546.375,0.9801980198019802,0,0,1,81,4695,32169,231,682,0,1,71,16344,1945958
603,6,626,99,998,1785.0,620,635,356.0,2988.0,12.0,4.0,1,2,0,249.0,1,8,671.5,0.0990990990990991,1,0,1,174,1956,21293,231,682,0,2,78,11571,1945975
541,4,553,99,70,2023.0,519,446,319.0,556.71,7.0,4.0,1,2,0,79.53,1,8,531.875,1.3943661971830985,1,3,5,174,951,7368,3703,110,0,2,63,21583,1903776
733,4,701,99,100,3789.0,682,671,613.0,1340.4,12.0,4.0,1,2,0,111.7,1,8,847.375,0.9801980198019802,1,8,5,148,4445,24642,277,1078,0,2,68,18672,1946160
553,2,620,99,0,6000.0,599,583,513.0,2396.04,12.0,4.0,1,2,0,199.67,1,8,1057.0,99.0,1,0,5,150,380,65387,411,585,0,2,77,12245,1945419
480,1,455,99,100,2284.0,503,477,342.0,556.71,7.0,4.0,1,2,0,79.53,1,8,549.875,0.9801980198019802,1,3,5,107,1030,68713,3703,110,0,2,59,24144,1902870
673,5,689,99,100,1685.0,660,609,653.0,4343.76,12.0,4.0,1,2,0,361.98,1,8,565.0,0.9801980198019802,0,4,5,104,4393,36176,3056,1641,0,1,66,19974,1946164
625,4,625,99,100,500.0,621,619,553.0,2396.04,12.0,4.0,1,2,0,199.67,1,8,399.125,0.9801980198019802,1,0,5,184,1879,66136,411,585,0,2,83,8545,1945447
581,5,580,99,100,2187.0,546,515,304.0,1019.76,12.0,4.0,1,2,0,84.98,1,8,576.625,0.9801980198019802,1,8,5,102,4977,54427,3722,752,0,2,69,17862,1946135
