SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,score,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,segmento_encoded,modalidade_encoded,endereco_estado_encoded,endereco_cidade_encoded,endereco_cep_encoded,lancamento_encoded,produtor_encoded,MENSAGEM_TIPO_REGISTRO_encoded,categoria_risco_score_encoded,idade_encoded,nascimento_encoded,FPD,pedido_id
393,1,475,99,96,2494.0,480,558,270.0,3221.01,9.0,1.0,8.0,1.0,0,357.89000000000004,1,7,300.2857142857143,1.0206185567010309,2,4,4,149,2625,50302,1176,1122,0,0,98,1432,0,515407
727,1,757,99,100,2444.0,808,738,505.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,461.4285714285714,0.9801980198019802,-1,4,3,125,2118,49990,2132,1167,0,3,78,11972,0,516564
455,8,549,99,49,3238.0,576,600,710.0,8691.12,12.0,1.0,8.0,1.0,0,724.2600000000001,1,7,333.7142857142857,1.98,0,4,4,148,3690,30600,2857,1062,0,1,62,22367,0,518377
663,9,678,99,96,3238.0,740,874,655.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,451.2857142857143,1.0206185567010309,0,4,3,75,580,60751,2132,1167,0,1,89,4990,0,492053
412,6,600,2,92,2444.0,492,561,557.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,309.2857142857143,0.021505376344086,-1,4,3,129,1181,69780,2132,1167,0,3,107,212,1,517499
256,1,397,99,63,2444.0,328,374,571.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,216.8571428571429,1.546875,-1,4,3,59,883,45020,1025,1314,0,3,72,15789,0,518255
461,2,504,99,86,2494.0,427,414,185.0,2568.13,16.0,1.0,8.0,1.0,0,160.508125,1,7,284.7142857142857,1.137931034482759,2,4,6,104,466,36812,2752,493,0,0,60,23711,0,517102
819,4,906,99,100,1507.0,916,881,684.0,526.29,3.0,1.0,8.0,1.0,0,175.42999999999998,1,8,654.0,0.9801980198019802,0,0,4,90,1533,62917,1756,1582,0,1,60,23809,0,518530
600,4,600,99,76,2494.0,600,600,222.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,368.4285714285714,1.2857142857142858,2,4,3,90,1533,62050,1025,1314,0,0,81,9975,0,518099
554,1,601,99,100,2494.0,657,519,159.0,1501.29,9.0,1.0,8.0,1.0,0,166.81,1,7,361.57142857142856,0.9801980198019802,2,4,4,148,3349,30186,2751,1128,0,0,78,11843,0,517822
376,9,593,99,100,2494.0,544,600,245.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,331.57142857142856,0.9801980198019802,2,4,3,174,674,15775,1885,734,0,0,84,8152,0,516926
726,2,678,99,100,2494.0,750,750,223.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,443.57142857142856,0.9801980198019802,2,4,3,67,2227,52586,1885,734,0,0,81,9605,0,516925
366,2,576,99,3,2494.0,527,600,275.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,310.42857142857144,24.75,2,4,3,148,3432,26511,1885,734,0,0,91,4120,0,517830
221,1,333,99,57,2444.0,351,374,311.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,205.1428571428572,1.706896551724138,-1,4,3,90,1533,63134,1025,1314,0,3,84,7768,0,517420
473,3,538,99,87,2494.0,503,524,207.0,1154.07,9.0,1.0,8.0,1.0,0,128.23,1,7,318.1428571428572,1.125,2,4,3,173,216,45996,2132,1167,0,0,67,19456,0,517260
401,4,432,99,100,2494.0,456,544,106.0,2242.68,12.0,1.0,8.0,1.0,0,186.89,1,7,290.85714285714283,0.9801980198019802,2,4,4,152,1413,81951,1701,469,0,0,88,5678,0,503130
692,7,731,99,98,3238.0,682,744,670.0,2414.16,12.0,1.0,8.0,1.0,0,201.18,1,7,436.1428571428572,1.0,0,4,4,148,3432,24058,1088,870,0,1,67,19278,0,517954
359,1,386,99,0,2444.0,404,376,326.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,232.1428571428572,99.0,-1,4,3,174,4031,660,1885,734,0,3,83,8454,0,517616
521,10,623,99,100,2264.0,640,639,275.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,8,612.0,0.9801980198019802,2,4,3,104,1080,34971,1885,734,0,0,87,6047,0,516978
206,3,382,99,998,2494.0,326,302,201.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,330.85714285714283,0.0990990990990991,2,4,3,90,3423,64722,1885,734,0,0,77,12283,0,517035
680,3,836,99,999,2296.0,944,989,956.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,8,855.75,0.099,0,4,6,172,3560,78631,1025,1314,0,1,96,2173,0,518463
528,1,494,99,77,2444.0,508,547,620.0,526.3,3.0,1.0,8.0,1.0,0,175.4333333333333,1,7,322.0,1.2692307692307692,-1,4,3,104,3994,39317,1885,734,0,3,79,11171,0,517687
288,4,319,99,0,4844.0,243,364,747.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,8,770.125,99.0,0,4,6,49,2347,57160,1025,1314,0,1,81,9683,1,518414
374,1,380,99,48,1823.0,431,434,147.0,526.29,3.0,1.0,8.0,1.0,0,175.42999999999998,1,8,448.75,2.020408163265306,2,0,4,108,4452,67110,1756,1582,0,0,58,24818,0,518277
597,2,593,2,87,6524.0,519,492,107.0,913.37,8.0,1.0,8.0,1.0,0,114.17125,1,8,1102.0,0.0227272727272727,2,4,4,184,2868,65845,313,1280,0,0,73,15196,0,518730
384,2,488,99,76,2494.0,432,572,270.0,526.3,3.0,1.0,8.0,1.0,0,175.4333333333333,1,7,293.2857142857143,1.2857142857142858,2,4,3,174,871,5545,1885,734,0,0,93,3174,0,517492
551,1,549,99,999,2444.0,508,367,375.0,718.68,12.0,1.0,8.0,1.0,0,59.88999999999999,1,7,439.1428571428572,0.099,-1,1,4,174,4031,1989,122,1176,0,3,56,26291,0,517137
553,3,585,99,82,2444.0,524,481,554.0,2415.36,12.0,1.0,8.0,1.0,0,201.28,1,7,332.42857142857144,1.1927710843373494,-1,4,3,123,154,55590,2645,1194,0,3,74,14211,0,516735
222,8,293,99,998,1781.0,305,267,102.0,2519.52,12.0,1.0,8.0,1.0,0,209.96,1,8,496.625,0.0990990990990991,2,4,4,174,3996,6537,3484,24,0,0,73,15341,0,517749
819,5,757,99,100,2494.0,806,799,215.0,1678.56,12.0,1.0,8.0,1.0,0,139.88,1,7,483.57142857142856,0.9801980198019802,2,4,3,174,1901,22565,2283,1200,0,0,65,20422,0,518179
672,8,906,99,998,3238.0,934,860,819.0,2258.73,9.0,1.0,8.0,1.0,0,250.97,1,7,639.5714285714286,0.0990990990990991,0,0,4,129,3611,72501,166,485,0,1,74,14329,0,477357
363,1,457,99,100,863.0,395,433,118.0,333.67,3.0,1.0,8.0,1.0,0,111.22333333333334,1,8,338.875,0.9801980198019802,2,0,4,108,4452,67043,1756,1582,0,0,75,13711,0,518726
671,5,757,2,96,2494.0,816,932,260.0,1020.88,8.0,1.0,8.0,1.0,0,127.61,1,7,468.4285714285714,0.0206185567010309,2,8,4,174,3380,18257,117,1466,0,0,98,1540,0,516749
388,1,558,99,23,2444.0,484,529,567.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,297.42857142857144,4.125,-1,4,2,174,3713,10448,1025,1314,0,3,73,15097,0,517729
726,1,731,99,100,2494.0,710,750,270.0,549.0,6.0,1.0,8.0,1.0,0,91.5,1,7,445.2857142857143,0.9801980198019802,2,4,3,126,1991,47479,1885,734,0,0,90,4672,0,517448
488,3,600,99,87,2494.0,503,575,283.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,336.42857142857144,1.125,2,4,4,174,4031,4572,1176,1122,0,0,67,19273,1,518806
374,1,488,99,100,2494.0,417,392,2.0,718.68,12.0,1.0,8.0,1.0,0,59.88999999999999,1,7,267.2857142857143,0.9801980198019802,2,1,4,104,3906,38686,122,1176,0,0,56,26514,1,517500
512,6,689,99,100,2494.0,550,605,300.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,365.8571428571428,0.9801980198019802,2,4,3,148,459,29151,1025,1314,0,0,88,5781,1,516286
608,3,647,99,998,2494.0,564,568,290.0,531.96,6.0,1.0,8.0,1.0,0,88.66000000000001,1,7,498.1428571428572,0.0990990990990991,2,4,3,129,1181,70750,3008,1257,0,0,73,14884,0,518572
416,5,519,99,41,3238.0,435,493,847.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,286.85714285714283,2.357142857142857,0,4,4,104,3915,37936,1176,1122,0,1,67,18862,0,518765
440,1,377,99,8,2444.0,442,438,323.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,7,257.85714285714283,11.0,-1,0,4,129,914,72917,166,485,0,3,77,12594,0,510294
819,2,906,99,99,1300.0,899,876,603.0,2258.73,9.0,1.0,8.0,1.0,0,250.97,1,8,625.0,0.99,-1,0,4,90,3747,63984,166,485,0,3,74,14318,0,517685
490,1,595,99,100,2444.0,421,381,445.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,298.1428571428572,0.9801980198019802,-1,4,4,174,1899,22377,1176,1122,0,3,65,20270,1,518776
375,7,388,99,67,2444.0,359,452,579.0,841.8,12.0,1.0,8.0,1.0,0,70.14999999999999,1,7,249.57142857142856,1.4558823529411764,-1,4,3,174,4031,8061,2506,404,0,3,68,18372,0,518883
575,3,736,99,100,2444.0,644,694,612.0,1732.77,9.0,1.0,8.0,1.0,0,192.53,1,7,407.2857142857143,0.9801980198019802,-1,4,4,174,4031,4876,1479,462,0,3,66,19525,0,518632
375,4,494,99,39,3238.0,550,599,726.0,2411.76,12.0,1.0,8.0,1.0,0,200.98,1,7,308.57142857142856,2.475,0,4,6,59,65,45403,3075,1291,0,1,68,18409,0,515615
341,3,521,99,100,2444.0,384,428,499.0,1919.64,12.0,1.0,8.0,1.0,0,159.97,1,7,268.0,0.9801980198019802,-1,4,4,90,1146,62003,1675,118,0,3,62,22615,0,501066
164,3,292,99,68,3238.0,191,318,766.0,1204.08,12.0,1.0,8.0,1.0,0,100.34,1,7,162.14285714285714,1.434782608695652,0,4,6,172,369,76526,207,835,0,1,63,21866,0,478104
565,3,679,99,100,2494.0,567,601,210.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,373.4285714285714,0.9801980198019802,2,4,3,174,4031,2178,1025,1314,0,0,67,18989,0,518794
155,1,383,99,999,4618.0,351,421,673.0,1807.92,12.0,1.0,8.0,1.0,0,150.66,1,8,878.375,0.099,0,4,4,174,4031,43547,1479,462,0,1,73,14727,0,518939
612,3,689,99,100,2494.0,644,648,131.0,1732.77,9.0,1.0,8.0,1.0,0,192.53,1,7,399.2857142857143,0.9801980198019802,2,4,3,75,580,59019,581,1075,0,0,61,22839,0,518542
457,1,494,99,100,2494.0,479,692,282.0,2496.36,12.0,1.0,8.0,1.0,0,208.03,1,7,331.7142857142857,0.9801980198019802,2,4,4,174,4112,6286,1701,469,0,0,74,14657,0,492268
659,5,574,99,100,3238.0,582,576,804.0,405.39,3.0,1.0,8.0,1.0,0,135.13,1,7,370.7142857142857,0.9801980198019802,0,4,6,152,3671,83305,1700,1033,0,1,77,12500,0,510815
475,2,494,99,85,2494.0,485,502,57.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,306.0,1.1511627906976745,2,4,4,59,1741,44733,1176,1122,0,0,62,22438,0,518975
364,1,354,99,58,2300.0,200,255,388.0,2534.94,9.0,1.0,8.0,1.0,0,281.66,1,8,453.875,1.6779661016949152,-1,4,4,174,54,17871,1598,301,0,3,58,25300,0,515475
319,2,457,99,94,6875.0,421,463,216.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,8,1091.25,1.0421052631578946,2,0,4,123,469,55009,166,485,0,0,74,14139,0,518978
459,1,600,99,67,6554.0,473,500,754.0,2496.36,12.0,1.0,8.0,1.0,0,208.03,1,8,1094.125,1.4558823529411764,0,4,4,172,614,76679,1701,469,0,1,79,11330,0,506098
680,3,836,99,100,2444.0,793,961,519.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,496.0,0.9801980198019802,-1,4,2,174,139,16760,1025,1314,0,3,74,14482,0,518997
465,2,489,99,100,2494.0,484,496,98.0,1807.92,12.0,1.0,8.0,1.0,0,150.66,1,7,305.0,0.9801980198019802,2,4,4,128,2947,53464,1479,462,0,0,59,24427,0,519008
378,2,514,99,86,2494.0,453,478,197.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,7,287.1428571428572,1.137931034482759,2,0,4,81,1051,32709,166,485,0,0,65,20417,1,518684
530,6,600,99,54,10273.0,514,587,702.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,8,1582.875,1.8,0,0,4,174,954,12686,166,485,0,1,84,7618,0,518992
621,1,701,99,91,2444.0,733,872,511.0,959.88,12.0,1.0,8.0,1.0,0,79.99,1,7,445.4285714285714,1.076086956521739,-1,4,4,152,2727,80268,205,59,0,3,59,24323,0,515536
863,6,906,99,100,3722.0,785,834,685.0,802.62,9.0,1.0,8.0,1.0,0,89.18,1,8,914.375,0.9801980198019802,0,4,4,172,3927,75782,313,1280,0,1,79,10739,0,518462
718,1,757,99,100,3238.0,802,777,852.0,3536.16,12.0,1.0,8.0,1.0,0,294.68,1,7,464.8571428571428,0.9801980198019802,0,4,6,174,865,11286,782,327,0,1,62,22183,0,519006
779,2,906,99,100,3238.0,849,995,850.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,7,532.8571428571429,0.9801980198019802,0,0,4,174,4031,4901,166,485,0,1,81,9691,0,519017
600,1,600,99,88,5624.0,576,600,175.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,8,1023.5,1.1123595505617978,2,0,4,152,477,82235,166,485,0,0,73,14780,0,519032
441,1,600,2,87,2494.0,493,579,194.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,7,314.7142857142857,0.0227272727272727,2,0,4,174,435,5639,166,485,0,0,76,13189,1,519040
671,1,661,99,96,2494.0,748,736,299.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,430.2857142857143,1.0206185567010309,2,4,3,104,463,34147,1025,1314,0,0,80,10147,0,519046
74,1,415,99,51,2444.0,177,286,578.0,1989.12,12.0,1.0,8.0,1.0,0,165.76,1,7,157.57142857142858,1.9038461538461533,-1,4,3,81,1025,32764,1025,1314,0,3,53,27848,0,518480
475,1,595,99,100,2494.0,435,420,183.0,279.65,1.0,1.0,8.0,1.0,0,279.65,1,7,303.57142857142856,0.9801980198019802,2,4,4,150,4416,65762,1176,1122,0,0,64,20911,0,519061
531,2,600,99,100,3945.0,560,572,24.0,2242.68,12.0,1.0,8.0,1.0,0,186.89,1,8,801.125,0.9801980198019802,2,4,4,152,912,83777,1701,469,0,0,61,22828,0,504509
578,9,600,99,94,2494.0,558,600,135.0,1807.92,12.0,1.0,8.0,1.0,0,150.66,1,7,362.57142857142856,1.0421052631578946,2,4,4,174,760,14312,1479,462,0,0,68,18375,0,518983
350,2,494,99,81,2444.0,513,576,517.0,718.68,12.0,1.0,8.0,1.0,0,59.88999999999999,1,7,302.1428571428572,1.2073170731707317,-1,1,4,184,230,66209,122,1176,0,3,64,21239,0,517889
850,4,906,99,100,3238.0,906,893,751.0,3355.8,12.0,1.0,8.0,1.0,0,279.65000000000003,1,7,536.8571428571429,0.9801980198019802,0,4,4,152,3192,79083,1176,1122,0,1,66,19581,0,518857
376,1,558,99,100,2494.0,362,385,82.0,1807.92,12.0,1.0,8.0,1.0,0,150.66,1,7,268.7142857142857,0.9801980198019802,2,4,4,152,3023,82441,1479,462,0,0,68,18298,0,518911
713,1,618,99,100,3238.0,535,558,673.0,1437.96,6.0,1.0,8.0,1.0,0,239.66,1,7,374.8571428571428,0.9801980198019802,0,4,6,107,773,68691,2751,1128,0,1,78,11526,0,518918
508,2,538,99,100,2444.0,464,549,435.0,2355.48,12.0,1.0,8.0,1.0,0,196.29,1,7,322.85714285714283,0.9801980198019802,-1,0,4,59,422,45191,166,485,0,3,55,26798,0,518894
619,1,640,99,0,3238.0,606,629,787.0,2496.36,12.0,1.0,8.0,1.0,0,208.03,1,7,370.57142857142856,99.0,0,4,4,174,2020,18005,1701,469,0,1,78,11523,0,493994
589,6,574,99,31,2494.0,568,521,180.0,1611.09,9.0,1.0,8.0,1.0,0,179.01,1,7,341.1428571428572,3.09375,2,4,3,125,2104,49633,2283,1200,0,0,65,20364,0,518479
417,1,679,99,998,3238.0,512,493,783.0,2411.76,12.0,1.0,8.0,1.0,0,200.98,1,7,457.0,0.0990990990990991,0,4,6,104,486,35667,2606,534,0,1,72,16082,0,518982
238,1,431,99,998,2444.0,403,367,583.0,755.46,9.0,1.0,8.0,1.0,0,83.94,1,7,362.4285714285714,0.0990990990990991,-1,4,4,104,3381,36137,1489,1425,0,3,79,11098,0,516506
319,1,380,99,78,2494.0,347,350,118.0,1807.92,12.0,1.0,8.0,1.0,0,150.66,1,7,224.8571428571429,1.2531645569620251,2,4,4,174,4031,3189,1479,462,0,0,63,21632,1,519055
371,1,457,99,100,2494.0,365,458,19.0,2242.68,12.0,1.0,8.0,1.0,0,186.89,1,7,264.42857142857144,0.9801980198019802,2,4,4,172,4403,78644,1701,469,0,0,78,12024,1,519053
726,7,703,99,56,3238.0,718,837,791.0,1158.0,12.0,1.0,8.0,1.0,0,96.5,1,7,449.4285714285714,1.736842105263158,0,4,6,148,2479,29737,3358,1514,0,1,81,9797,0,519086
