SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,FPD,pedido_id
636,10,906,99,100,2444.0,670,751,APTOS,Produtor_0881,Lancamento_1287,Outros,319.0,Outros,75802-625,GO,Cidade_2058,1970-04-14 00:00:00,55,CrA©dito AcessA­vel,1569.96,12.0,3.0,2.0,1.0,0,130.83,1,7,453.1428571428572,0.9801980198019802,-1,0,777125
554,7,552,99,78,2444.0,580,602,APTOS,Produtor_0350,Lancamento_2894,Mentoria,350.0,Outros,69076-760,AM,Cidade_2348,1964-10-20 00:00:00,61,Antecipado,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,353.1428571428572,1.2531645569620251,-1,0,777106
391,4,459,2,76,2494.0,457,579,APTOS,Produtor_0486,Lancamento_0167,Autoconhecimento,135.0,Alto,78028-570,MT,Cidade_1169,1983-06-21 00:00:00,42,CrA©dito AcessA­vel,2988.0,12.0,3.0,2.0,1.0,0,249.0,1,7,281.1428571428572,0.0259740259740259,2,0,740141
514,4,558,99,50,3489.0,408,452,APTOS,Produtor_0078,Lancamento_2767,Empreendedor,661.0,Baixo,79833-240,MS,Cidade_1278,1988-05-18 00:00:00,37,Descomplicado,2170.2,12.0,3.0,2.0,1.0,0,180.85,1,8,696.75,1.9411764705882355,0,0,742182
414,2,494,99,17,3238.0,407,424,APTOS,Produtor_1233,Lancamento_1097,Autoconhecimento,837.0,Baixo,89128-000,SC,Cidade_2263,1981-01-27 00:00:00,45,CrA©dito AcessA­vel,1796.04,12.0,3.0,2.0,1.0,0,149.67,1,7,265.2857142857143,5.5,0,0,776465
473,1,554,2,100,6821.0,539,525,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,180.0,Alto,55590-000,PE,Cidade_1795,1976-05-05 00:00:00,49,CrA©dito AcessA­vel,1148.13,9.0,3.0,2.0,1.0,0,127.57,1,8,1126.875,0.0198019801980198,2,0,765969
351,6,390,99,83,5135.0,401,515,APTOS,Produtor_1077,Lancamento_1829,Autodesenvolvimento,123.0,Alto,88062-065,SC,Cidade_1423,1978-10-12 00:00:00,47,CrA©dito AcessA­vel,2049.48,12.0,3.0,2.0,1.0,0,170.79,1,8,872.5,1.1785714285714286,2,0,742689
303,1,251,99,0,3238.0,351,350,APTOS,Produtor_0553,Lancamento_0059,Mentoria,708.0,Baixo,36576-172,MG,Cidade_4442,1971-07-09 00:00:00,54,Antecipado,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,193.57142857142856,99.0,0,0,776952
490,1,587,99,64,2494.0,485,581,APTOS,Produtor_0453,Lancamento_0379,Empreendedor,210.0,Alto,09570-450,SP,Cidade_3870,1975-10-24 00:00:00,50,Compartilhado,3310.62,6.0,3.0,2.0,1.0,0,551.77,1,7,329.57142857142856,1.523076923076923,2,0,777058
488,1,600,99,95,2494.0,474,505,APTOS,Produtor_1187,Lancamento_2358,Mentoria,4.0,Alto,17601-320,SP,Cidade_4269,1999-11-03 00:00:00,26,CrA©dito AcessA­vel,1796.04,12.0,3.0,2.0,1.0,0,149.67,1,7,323.1428571428572,1.03125,2,0,779372
366,1,413,99,100,2494.0,434,513,APTOS,Produtor_0153,Lancamento_0676,Empreendedor,251.0,Alto,97045-090,RS,Cidade_3601,1970-03-15 00:00:00,55,CrA©dito AcessA­vel,962.52,12.0,3.0,2.0,1.0,0,80.21,1,7,275.1428571428572,0.9801980198019802,2,1,682211
393,6,466,99,96,4594.0,473,600,APTOS,Produtor_0720,Lancamento_2324,Empreendedor,158.0,Alto,88811-030,SC,Cidade_1142,1981-06-25 00:00:00,44,CrA©dito AcessA­vel,2483.25,16.0,3.0,2.0,1.0,0,155.203125,1,8,840.875,1.0206185567010309,2,0,771101
343,1,437,2,15,2444.0,411,474,APTOS,Produtor_0572,Lancamento_0449,Empreendedor,548.0,Outros,58417350,PB,Cidade_0756,1984-09-16 00:00:00,41,CrA©dito AcessA­vel,2979.24,12.0,3.0,2.0,1.0,0,248.27,1,7,240.42857142857144,0.125,-1,0,776784
490,2,444,99,100,2494.0,468,542,APTOS,Produtor_0662,Lancamento_0305,Empreendedor,91.0,Alto,72548-708,DF,Cidade_0581,1994-01-25 00:00:00,32,CrA©dito AcessA­vel,482.76,6.0,3.0,2.0,1.0,0,80.46,1,7,306.42857142857144,0.9801980198019802,2,0,776821
364,5,514,99,64,2444.0,477,520,APTOS,Produtor_1236,Lancamento_2654,Empreendedor,336.0,Outros,28030-130,RJ,Cidade_0799,1989-08-26 00:00:00,36,CrA©dito AcessA­vel,1991.53,10.0,3.0,2.0,1.0,0,199.153,1,7,291.85714285714283,1.523076923076923,-1,0,761200
522,4,535,2,92,2494.0,575,611,APTOS,Produtor_0409,Lancamento_2846,Emagrecimento,270.0,Alto,84190-000,PR,Cidade_0928,1971-07-04 00:00:00,54,CrA©dito AcessA­vel,2221.71,3.0,3.0,2.0,1.0,0,740.57,1,7,334.42857142857144,0.021505376344086,2,0,762709
122,4,361,99,65,2444.0,276,313,APTOS,Produtor_0025,Lancamento_3487,Empreendedor,426.0,Outros,64095-010,PI,Cidade_4175,1985-01-17 00:00:00,41,CrA©dito AcessA­vel,2071.8,12.0,3.0,2.0,1.0,0,172.65,1,7,177.14285714285714,1.5,-1,0,768955
393,2,430,99,88,2494.0,428,518,APTOS,Produtor_0350,Lancamento_2894,Mentoria,106.0,Alto,95678-492,RS,Cidade_1553,1983-08-29 00:00:00,42,CrA©dito AcessA­vel,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,279.7142857142857,1.1123595505617978,2,0,763439
600,6,600,99,38,2494.0,600,600,APTOS,Produtor_0553,Lancamento_0059,Mentoria,260.0,Alto,06537-085,SP,Cidade_3653,1970-06-25 00:00:00,55,CrA©dito AcessA­vel,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,363.2857142857143,2.5384615384615383,2,0,777278
23,1,284,99,14,2494.0,170,372,APTOS,Produtor_1467,Lancamento_0133,Outros,139.0,Alto,24472-040,RJ,Cidade_3911,1970-09-24 00:00:00,55,CrA©dito AcessA­vel,3564.0,12.0,3.0,2.0,1.0,0,297.0,1,7,137.57142857142858,6.6,2,0,774412
144,1,282,99,33,3109.0,128,183,APTOS,Produtor_1507,Lancamento_0658,Empreendedor,177.0,Alto,18528-330,SP,Cidade_0971,1982-02-08 00:00:00,43,CrA©dito AcessA­vel,3019.32,12.0,3.0,2.0,1.0,0,251.61,1,8,497.375,2.911764705882353,2,0,776024
456,2,447,99,14,2494.0,417,431,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,131.0,Alto,74370-469,GO,Cidade_1534,1994-02-16 00:00:00,31,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,266.57142857142856,6.6,2,0,772910
397,1,438,99,83,1800.0,442,435,APTOS,Produtor_1315,Lancamento_1024,Empreendedor,223.0,Alto,72321-206,DF,Cidade_0581,1978-07-23 00:00:00,47,CrA©dito AcessA­vel,1976.04,12.0,3.0,2.0,1.0,0,164.67,1,8,461.875,1.1785714285714286,2,0,644434
426,4,514,99,89,2494.0,421,516,APTOS,Produtor_0486,Lancamento_0167,Autoconhecimento,66.0,Alto,74423-270,GO,Cidade_1534,1988-11-12 00:00:00,37,CrA©dito AcessA­vel,2988.0,12.0,3.0,2.0,1.0,0,249.0,1,7,295.57142857142856,1.1,2,0,576518
186,2,432,99,100,2494.0,331,377,APTOS,Produtor_1363,Lancamento_2611,Empreendedor,224.0,Alto,45993-323,BA,Cidade_4164,1976-08-13 00:00:00,49,CrA©dito AcessA­vel,2113.44,12.0,3.0,2.0,1.0,0,176.12,1,7,218.1428571428572,0.9801980198019802,2,0,775680
421,4,425,99,100,2444.0,465,527,APTOS,Produtor_0350,Lancamento_2894,Mentoria,555.0,Outros,09725-780,SP,Cidade_3864,1966-06-25 00:00:00,59,Antecipado,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,291.57142857142856,0.9801980198019802,-1,0,755853
748,4,750,99,99,3238.0,750,750,APTOS,Produtor_1463,Lancamento_1681,Empreendedor,803.0,Baixo,36050-020,MG,Cidade_2117,1988-02-26 00:00:00,37,CrA©dito AcessA­vel,1101.36,6.0,3.0,2.0,1.0,0,183.56,1,7,457.1428571428572,0.99,0,0,777022
600,9,600,2,92,2494.0,561,592,APTOS,Produtor_0409,Lancamento_2846,Emagrecimento,255.0,Alto,29165-800,ES,Cidade_3768,1980-11-30 00:00:00,45,CrA©dito AcessA­vel,2317.56,6.0,3.0,2.0,1.0,0,386.26,1,7,350.85714285714283,0.021505376344086,2,0,770062
636,3,623,99,92,2444.0,568,599,APTOS,Produtor_0632,Lancamento_1081,Mentoria,354.0,Outros,38181-556,MG,Cidade_0263,1986-02-05 00:00:00,39,Antecipado,2276.01,12.0,3.0,2.0,1.0,0,189.6675,1,7,374.2857142857143,1.064516129032258,-1,0,776576
734,2,750,2,100,3238.0,750,750,APTOS,Produtor_1587,Lancamento_0033,Emagrecimento,850.0,Baixo,86062-430,PR,Cidade_2241,1977-07-19 00:00:00,48,CrA©dito AcessA­vel,1436.16,12.0,3.0,2.0,1.0,0,119.68,1,7,441.1428571428572,0.0198019801980198,0,0,773994
452,4,538,99,99,2494.0,468,600,APTOS,Produtor_1467,Lancamento_3497,Empreendedor,235.0,Alto,58059-724,PB,Cidade_2105,1963-07-03 00:00:00,62,CrA©dito AcessA­vel,2396.04,12.0,3.0,2.0,1.0,0,199.67,1,7,322.85714285714283,0.99,2,0,774745
354,6,421,99,67,1995.0,371,467,APTOS,Produtor_1467,Lancamento_0118,Outros,187.0,Alto,33105-050,MG,Cidade_3593,1961-03-15 00:00:00,64,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,8,472.5,1.4558823529411764,2,1,771703
341,2,377,99,52,1794.0,273,361,APTOS,Produtor_0995,Lancamento_1521,Empreendedor,253.0,Alto,72319-101,DF,Cidade_0581,1967-07-13 00:00:00,58,CrA©dito AcessA­vel,1796.04,12.0,3.0,2.0,1.0,0,149.67,1,8,412.375,1.8679245283018868,2,0,772346
386,1,558,99,63,2494.0,401,452,APTOS,Produtor_0881,Lancamento_1290,Outros,179.0,Alto,59123-307,RN,Cidade_2626,1986-11-21 00:00:00,39,CrA©dito AcessA­vel,1928.76,12.0,3.0,2.0,1.0,0,160.73,1,7,280.0,1.546875,2,0,777482
379,3,469,99,94,2444.0,417,562,APTOS,Produtor_0283,Lancamento_1297,Empreendedor,639.0,Outros,14806-245,SP,Cidade_0252,1949-04-13 00:00:00,76,CrA©dito AcessA­vel,549.0,6.0,3.0,2.0,1.0,0,91.5,1,7,289.0,1.0421052631578946,-1,0,764975
668,3,684,99,100,3238.0,674,605,APTOS,Produtor_1145,Lancamento_1307,Empreendedor,674.0,Baixo,13190-800,SP,Cidade_2553,1987-06-22 00:00:00,38,CrA©dito AcessA­vel,2879.52,12.0,3.0,2.0,1.0,0,239.96,1,7,404.7142857142857,0.9801980198019802,0,0,776014
218,10,322,99,998,3238.0,517,575,APTOS,Produtor_1467,Lancamento_2813,Outros,680.0,Baixo,60731010,CE,Cidade_1439,1963-01-19 00:00:00,63,CrA©dito AcessA­vel,2396.04,12.0,3.0,2.0,1.0,0,199.67,1,7,391.2857142857143,0.0990990990990991,0,1,769957
282,2,336,99,0,2494.0,393,463,APTOS,Produtor_0720,Lancamento_2324,Empreendedor,177.0,Alto,04932-230,SP,Cidade_4032,1972-06-24 00:00:00,53,CrA©dito AcessA­vel,2396.04,12.0,3.0,2.0,1.0,0,199.67,1,7,225.0,99.0,2,0,769728
633,9,893,99,100,3238.0,656,897,APTOS,Produtor_1402,Lancamento_0760,Outros,800.0,Baixo,02218-090,SP,Cidade_4032,1960-10-10 00:00:00,65,Antecipado,1136.16,12.0,3.0,2.0,1.0,0,94.68,1,7,469.57142857142856,0.9801980198019802,0,0,776660
508,1,665,99,100,3238.0,532,551,APTOS,Produtor_0486,Lancamento_0167,Autoconhecimento,756.0,Baixo,13015-315,SP,Cidade_0761,1978-11-13 00:00:00,47,CrA©dito AcessA­vel,2988.0,12.0,3.0,2.0,1.0,0,249.0,1,7,350.85714285714283,0.9801980198019802,0,0,766987
273,3,416,99,98,2494.0,384,554,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,123.0,Alto,41205-245,BA,Cidade_3538,1975-09-10 00:00:00,50,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,261.0,1.0,2,0,768935
514,1,558,99,65,4528.0,543,571,APTOS,Produtor_0008,Lancamento_1214,Empreendedor,124.0,Alto,28908-110,RJ,Cidade_0670,1984-07-23 00:00:00,41,CrA©dito AcessA­vel,2635.92,12.0,3.0,2.0,1.0,0,219.66,1,8,859.875,1.5,2,0,765554
414,2,543,99,78,2405.0,546,528,APTOS,Produtor_0463,Lancamento_1269,Outros,266.0,Alto,36201-048,MG,Cidade_0387,1981-08-07 00:00:00,44,CrA©dito AcessA­vel,1796.04,12.0,3.0,2.0,1.0,0,149.67,1,8,576.875,1.2531645569620251,2,0,773924
421,2,466,99,71,3238.0,405,422,APTOS,Produtor_0821,Lancamento_0590,Empreendedor,666.0,Baixo,85603-702,PR,Cidade_1452,1993-09-08 00:00:00,32,CrA©dito AcessA­vel,4159.68,12.0,3.0,2.0,1.0,0,346.64000000000004,1,7,269.42857142857144,1.375,0,0,776671
398,1,437,99,89,2494.0,362,408,APTOS,Produtor_1507,Lancamento_0658,Empreendedor,40.0,Alto,06230-150,SP,Cidade_2800,1996-09-02 00:00:00,29,CrA©dito AcessA­vel,3019.32,12.0,3.0,2.0,1.0,0,251.61,1,7,256.2857142857143,1.1,2,1,777004
444,6,448,99,85,1020.0,519,448,APTOS,Produtor_0025,Lancamento_3486,Empreendedor,199.0,Alto,44320-000,BA,Cidade_1046,1963-05-17 00:00:00,62,CrA©dito AcessA­vel,1062.47,5.0,3.0,2.0,1.0,0,212.494,1,8,383.625,1.1511627906976745,2,0,777611
434,7,519,2,95,2373.0,488,563,APTOS,Produtor_0881,Lancamento_1290,Outros,230.0,Alto,05568-020,SP,Cidade_4032,1964-09-07 00:00:00,61,CrA©dito AcessA­vel,1928.76,12.0,3.0,2.0,1.0,0,160.73,1,8,560.125,0.0208333333333333,2,0,777946
396,4,466,99,69,2444.0,447,476,APTOS,Produtor_1507,Lancamento_0658,Empreendedor,598.0,Outros,96065-040,RS,Cidade_3024,1977-02-24 00:00:00,48,Antecipado,3019.32,12.0,3.0,2.0,1.0,0,251.61,1,7,279.57142857142856,1.4142857142857144,-1,0,776916
396,10,488,99,0,2444.0,439,565,APTOS,Produtor_1507,Lancamento_0658,Empreendedor,318.0,Outros,45420-000,BA,Cidade_0713,1965-04-01 00:00:00,60,CrA©dito AcessA­vel,3019.32,12.0,3.0,2.0,1.0,0,251.61,1,7,285.2857142857143,99.0,-1,0,762022
482,5,346,2,98,2494.0,396,497,APTOS,Produtor_0553,Lancamento_0059,Mentoria,251.0,Alto,81925-510,PR,Cidade_1182,1961-06-24 00:00:00,64,CrA©dito AcessA­vel,1154.07,9.0,3.0,2.0,1.0,0,128.23,1,7,260.85714285714283,0.0202020202020202,2,1,775741
432,3,424,99,92,2444.0,420,432,APTOS,Produtor_0078,Lancamento_2767,Empreendedor,415.0,Outros,63900-235,CE,Cidade_3313,1979-03-19 00:00:00,46,Compartilhado,2170.2,12.0,3.0,2.0,1.0,0,180.85,1,7,271.7142857142857,1.064516129032258,-1,0,661178
528,6,524,99,998,2444.0,716,839,APTOS,Produtor_1467,Lancamento_0133,Outros,378.0,Outros,88220-000,SC,Cidade_1893,1958-08-27 00:00:00,67,CrA©dito AcessA­vel,3564.0,12.0,3.0,2.0,1.0,0,297.0,1,7,530.0,0.0990990990990991,-1,0,774398
604,3,609,2,90,3238.0,644,701,APTOS,Produtor_0121,Lancamento_3237,Autodesenvolvimento,777.0,Baixo,89300-102,SC,Cidade_2327,1967-06-18 00:00:00,58,CrA©dito AcessA­vel,1493.64,9.0,3.0,2.0,1.0,0,165.96,1,7,379.0,0.0219780219780219,0,0,770041
207,1,383,99,0,2494.0,318,247,APTOS,Produtor_0350,Lancamento_2894,Mentoria,41.0,Alto,29216-710,ES,Cidade_1597,1989-05-14 00:00:00,36,CrA©dito AcessA­vel,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,179.28571428571428,99.0,2,0,758311
490,3,457,99,0,1602.0,457,519,APTOS,Produtor_1009,Lancamento_1450,Outros,222.0,Alto,39785-000,MG,Cidade_3933,1987-10-23 00:00:00,38,CrA©dito AcessA­vel,880.38,6.0,3.0,2.0,1.0,0,146.73,1,8,453.375,99.0,2,0,776960
317,5,379,99,69,2444.0,353,369,APTOS,Produtor_0638,Lancamento_3085,Empreendedor,572.0,Outros,89580-000,SC,Cidade_1446,1993-03-29 00:00:00,32,CrA©dito AcessA­vel,2209.68,9.0,3.0,2.0,1.0,0,245.52,1,7,227.28571428571428,1.4142857142857144,-1,0,760491
347,4,424,99,0,2494.0,438,507,APTOS,Produtor_0350,Lancamento_2894,Mentoria,133.0,Alto,69095-090,AM,Cidade_2348,1972-09-13 00:00:00,53,CrA©dito AcessA­vel,1105.38,6.0,3.0,2.0,1.0,0,184.23,1,7,259.85714285714283,99.0,2,0,771949
402,1,587,99,100,2494.0,462,549,APTOS,Produtor_1136,Lancamento_2587,Mentoria,128.0,Alto,78580-000,MT,Cidade_0097,1975-07-27 00:00:00,50,CrA©dito AcessA­vel,2069.46,9.0,3.0,2.0,1.0,0,229.94,1,7,314.2857142857143,0.9801980198019802,2,0,761444
366,8,413,99,998,2392.0,477,492,APTOS,Produtor_0350,Lancamento_2894,Mentoria,549.0,Outros,68540-560,Para,Cidade_2373,1980-03-18 00:00:00,45,Antecipado,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,8,655.625,0.0990990990990991,-1,0,776972
627,1,609,2,90,14225.0,593,605,APTOS,Produtor_0873,Lancamento_2627,Emagrecimento,347.0,Outros,09811-375,SP,Cidade_3864,1971-10-17 00:00:00,54,CrA©dito AcessA­vel,549.0,6.0,3.0,2.0,1.0,0,91.5,1,8,2094.0,0.0219780219780219,-1,0,750168
564,2,552,99,29,2444.0,456,496,APTOS,Produtor_0226,Lancamento_0441,Outros,520.0,Outros,49075-150,SE,Cidade_0217,1988-05-27 00:00:00,37,CrA©dito AcessA­vel,1556.16,12.0,3.0,2.0,1.0,0,129.68,1,7,314.0,3.3,-1,0,774555
819,10,836,2,100,3238.0,806,764,APTOS,Produtor_0881,Lancamento_1290,Outros,805.0,Baixo,52080-365,PE,Cidade_3338,1970-10-06 00:00:00,55,CrA©dito AcessA­vel,1770.6,6.0,3.0,2.0,1.0,0,295.1,1,7,476.7142857142857,0.0198019801980198,0,0,777218
782,4,741,99,66,2444.0,774,831,APTOS,Produtor_1467,Lancamento_0133,Outros,633.0,Outros,06126-270,SP,Cidade_2800,1962-11-18 00:00:00,63,CrA©dito AcessA­vel,3564.0,12.0,3.0,2.0,1.0,0,297.0,1,7,471.0,1.4776119402985075,-1,0,776775
326,4,575,99,998,3238.0,575,575,APTOS,Produtor_1467,Lancamento_0133,Outros,812.0,Baixo,29600000,ES,Cidade_0047,1931-06-01 00:00:00,94,CrA©dito AcessA­vel,3564.0,12.0,3.0,2.0,1.0,0,297.0,1,7,450.2857142857143,0.0990990990990991,0,1,777367
652,1,731,99,93,2444.0,770,747,APTOS,Produtor_0453,Lancamento_0379,Empreendedor,389.0,Outros,38706-085,MG,Cidade_2968,1970-12-03 00:00:00,55,Compartilhado,3595.8,12.0,3.0,2.0,1.0,0,299.65000000000003,1,7,441.8571428571428,1.053191489361702,-1,0,776051
439,3,447,99,92,2494.0,480,529,APTOS,Produtor_1075,Lancamento_0986,Empreendedor,140.0,Alto,55297-130,PE,Cidade_1489,1992-06-04 00:00:00,33,CrA©dito AcessA­vel,549.0,6.0,3.0,2.0,1.0,0,91.5,1,7,298.42857142857144,1.064516129032258,2,1,763474
424,1,514,99,46,2494.0,457,438,APTOS,Produtor_0310,Lancamento_1801,Mentoria,250.0,Alto,13483-212,SP,Cidade_2224,1977-01-14 00:00:00,49,Descomplicado,2875.92,12.0,3.0,2.0,1.0,0,239.66,1,7,282.7142857142857,2.106382978723404,2,0,775476
634,2,534,99,4,2494.0,554,535,APTOS,Produtor_0989,Lancamento_1819,Financeiro,222.0,Alto,29101-335,ES,Cidade_4415,1978-09-07 00:00:00,47,Compartilhado,3077.19,11.0,3.0,2.0,1.0,0,279.74454545454546,1,7,337.42857142857144,19.8,2,0,685837
581,1,689,2,70,3238.0,562,508,APTOS,Produtor_0572,Lancamento_0449,Empreendedor,673.0,Baixo,05661-020,SP,Cidade_4032,1984-08-23 00:00:00,41,CrA©dito AcessA­vel,2859.57,9.0,3.0,2.0,1.0,0,317.73,1,7,344.7142857142857,0.028169014084507,0,0,779766
217,1,256,99,0,1460.0,245,224,APTOS,Produtor_0881,Lancamento_1287,Outros,360.0,Outros,04961-150,SP,Cidade_4032,2004-05-06 00:00:00,21,CrA©dito AcessA­vel,1569.96,12.0,3.0,2.0,1.0,0,130.83,1,8,312.75,99.0,-1,0,777192
580,10,906,99,100,2444.0,790,755,APTOS,Produtor_0463,Lancamento_1269,Outros,343.0,Outros,05777-001,SP,Cidade_4032,1966-06-24 00:00:00,59,CrA©dito AcessA­vel,1796.04,12.0,3.0,2.0,1.0,0,149.67,1,7,462.8571428571428,0.9801980198019802,-1,0,774181
355,1,379,99,55,2494.0,365,320,APTOS,Produtor_0350,Lancamento_2894,Mentoria,61.0,Alto,64034-440,PI,Cidade_4175,2002-12-07 00:00:00,23,CrA©dito AcessA­vel,1204.08,12.0,3.0,2.0,1.0,0,100.34,1,7,224.8571428571429,1.7678571428571428,2,0,763003
183,1,314,99,0,2494.0,374,347,APTOS,Produtor_1507,Lancamento_0658,Empreendedor,2.0,Alto,54420-310,PE,Cidade_1992,2003-09-17 00:00:00,22,CrA©dito AcessA­vel,3019.32,12.0,3.0,2.0,1.0,0,251.61,1,7,188.28571428571428,99.0,2,0,760848
376,1,424,99,100,2444.0,408,390,APTOS,Produtor_0881,Lancamento_1290,Outros,328.0,Outros,20271-030,RJ,Cidade_3433,1984-10-12 00:00:00,41,CrA©dito AcessA­vel,1928.76,12.0,3.0,2.0,1.0,0,160.73,1,7,256.85714285714283,0.9801980198019802,-1,0,777020
322,3,613,99,100,3238.0,465,476,APTOS,Produtor_1470,Lancamento_0544,Empreendedor,661.0,Baixo,79640-096,MS,Cidade_4246,1971-12-22 00:00:00,54,CrA©dito AcessA­vel,1196.16,12.0,3.0,2.0,1.0,0,99.68,1,7,296.85714285714283,0.9801980198019802,0,0,772868
539,4,731,99,100,2494.0,671,719,APTOS,Produtor_0881,Lancamento_1290,Outros,122.0,Alto,83311-704,PR,Cidade_3117,1989-06-08 00:00:00,36,CrA©dito AcessA­vel,1848.6,9.0,3.0,2.0,1.0,0,205.4,1,7,409.0,0.9801980198019802,2,0,777044
671,2,689,99,83,2494.0,522,539,APTOS,Produtor_0881,Lancamento_1287,Outros,227.0,Alto,01543-000,SP,Cidade_4032,1966-07-24 00:00:00,59,CrA©dito AcessA­vel,1569.96,12.0,3.0,2.0,1.0,0,130.83,1,7,372.1428571428572,1.1785714285714286,2,0,777116
217,1,284,99,84,2494.0,258,297,APTOS,Produtor_1366,Lancamento_0008,Autoconhecimento,39.0,Alto,17026-750,SP,Cidade_0450,2002-01-01 00:00:00,24,CrA©dito AcessA­vel,2533.95,9.0,3.0,2.0,1.0,0,281.54999999999995,1,7,177.14285714285714,1.1647058823529413,2,0,775759
