SCORE_HCP4,SCORE_HEST,SCORE_HFI4,SCORE_HIPA,SCORE_HIPN,SCORE_HRM5,SCORE_HSV4,SCORE_HVA4,MENSAGEM_TIPO_REGISTRO,produtor,lancamento,segmento,score,categoria_risco_score,endereco_cep,endereco_estado,endereco_cidade,nascimento,idade,modalidade,total_financiado,quantidade_parcelas,dia_semana_compra,mes_compra,dia_mes_compra,compra_fim_semana,valor_parcela,tem_bureau,qtd_scores_bureau,media_scores_bureau,razao_hipa_hipn,risco_ord,pedido_id
613,3,618,99,100,1776.0,603,587,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,172.0,Alto,75860-000,GO,Cidade_4256,1990-07-16,35,Credito Acessivel,1792.8,12.0,3.0,1,1,0,149.4,1,8,549.875,0.9801980198019802,2,1945956
625,1,625,99,100,1766.0,596,569,APTOS,Produtor_0504,Lancamento_4419,Mentoria,436.0,Medio,36202815,MG,Cidade_0525,1989-03-09,36,Credito Acessivel,1807.92,12.0,3.0,1,1,0,150.66,1,8,547.625,0.9801980198019802,1,1880217
553,4,554,99,43,1500.0,534,507,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,308.0,Medio,19940-061,SP,Cidade_2168,2002-11-09,23,Antecipacao Produtor,1792.8,12.0,3.0,1,1,0,149.4,1,8,474.25,2.25,1,1945970
625,4,519,2,92,3307.0,595,625,APTOS,Produtor_0103,Lancamento_0887,Empreendedor,845.0,Baixo,91787030,RS,Cidade_4138,1954-09-03,71,Credito Acessivel,312.64,2.0,3.0,1,1,0,156.32,1,8,721.125,0.021505376344086,0,1945976
702,1,643,99,999,1919.0,631,631,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,581.0,Medio,98440-000,RS,Cidade_0957,1976-08-01,49,Credito Acessivel,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,703.125,0.099,1,1945739
530,4,465,99,100,2907.0,493,432,APTOS,Produtor_1744,Lancamento_3792,Outros,292.0,Alto,33943-425,MG,Cidade_4394,1988-06-07,37,Credito Acessivel,1217.7,11.0,3.0,1,1,0,110.7,1,8,628.75,0.9801980198019802,2,1944683
539,3,533,99,0,1908.0,519,523,APTOS,Produtor_0504,Lancamento_4419,Mentoria,210.0,Alto,64130-000,PI,Cidade_3254,1990-07-25,35,Credito Acessivel,1828.31,11.0,3.0,1,1,0,166.21,1,8,515.5,99.0,2,1894643
430,1,395,99,0,794.0,442,442,APTOS,Produtor_0804,Lancamento_4569,Mentoria,171.0,Alto,92325-422,RS,Cidade_1092,2004-06-19,21,Credito Acessivel,4343.8,12.0,3.0,1,1,0,361.98333333333335,1,8,325.375,99.0,2,1945979
596,7,546,99,63,5896.0,556,620,APTOS,Produtor_1485,Lancamento_1335,Mentoria,704.0,Baixo,36015001,MG,Cidade_2795,1963-07-10,62,Credito Acessivel,4315.2,12.0,3.0,1,1,0,359.6,1,8,1047.875,1.546875,0,1945795
625,6,625,99,100,6000.0,625,625,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,455.0,Medio,12606-330,SP,Cidade_2947,1963-09-23,62,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,1088.125,0.9801980198019802,1,1945963
531,2,512,99,92,2167.0,508,526,APTOS,Produtor_1042,Lancamento_0270,Outros,432.0,Medio,08220-410,SP,Cidade_5362,1995-05-28,30,Credito Acessivel,1189.92,12.0,3.0,1,1,0,99.16,1,8,554.625,1.064516129032258,1,1945984
610,2,586,99,998,1813.0,635,684,APTOS,Produtor_0351,Lancamento_0460,Outros,817.0,Baixo,78575-000,MT,Cidade_2787,1963-04-25,62,Credito Acessivel,1198.18,10.0,3.0,1,1,0,119.818,1,8,678.375,0.0990990990990991,0,1945488
520,1,509,99,14,5184.0,531,576,APTOS,Produtor_1079,Lancamento_0278,Outros,344.0,Medio,76901-478,RO,Cidade_2743,1981-09-16,44,Credito Acessivel,1215.72,6.0,3.0,1,1,0,202.62,1,8,929.25,6.6,1,1945989
600,2,631,99,100,3953.0,589,529,APTOS,Produtor_1042,Lancamento_0270,Outros,207.0,Alto,30570-000,MG,Cidade_0618,1992-11-06,33,Credito Acessivel,1189.92,12.0,3.0,1,1,0,99.16,1,8,812.875,0.9801980198019802,2,1868792
659,2,655,99,998,1792.0,644,698,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,428.0,Medio,73778-000,GO,Cidade_0013,1976-08-06,49,Antecipacao Produtor,2121.12,13.0,3.0,1,1,0,163.16307692307691,1,8,693.375,0.0990990990990991,1,1945993
625,1,625,99,0,5674.0,599,560,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,351.0,Medio,37800-000,MG,Cidade_2121,1984-12-31,41,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,1022.875,99.0,1,1944924
725,3,760,2,100,21225.0,733,764,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,730.0,Baixo,13323-111,SP,Cidade_4506,1985-01-11,41,Antecipacao Produtor,1792.8,12.0,3.0,1,1,0,149.4,1,8,3039.0,0.0198019801980198,0,1946002
694,4,722,99,100,5148.0,694,685,APTOS,Produtor_1774,Lancamento_4693,Autoconhecimento,517.0,Medio,93700000,RS,Cidade_1025,1995-12-20,30,Credito Acessivel,264.18,3.0,3.0,1,1,0,88.06,1,8,1018.25,0.9801980198019802,1,1946004
522,1,465,99,90,6545.0,522,503,APTOS,Produtor_0728,Lancamento_0650,Autodesenvolvimento,182.0,Alto,96503-776,RS,Cidade_0920,1978-12-07,47,Credito Acessivel,2601.06,6.0,3.0,1,1,0,433.51,1,8,1093.375,1.0879120879120878,2,1944963
636,1,652,99,75,4322.0,582,505,APTOS,Produtor_0280,Lancamento_0389,Outros,428.0,Medio,78053734,MT,Cidade_1539,1994-12-18,31,Credito Acessivel,989.16,12.0,3.0,1,1,0,82.42999999999999,1,8,859.0,1.3026315789473684,1,1946005
522,2,585,99,51,1845.0,508,497,APTOS,Produtor_0111,Lancamento_3912,Emagrecimento,232.0,Alto,64490-000,PI,Cidade_4338,2001-12-29,24,Credito Acessivel,556.71,7.0,3.0,1,1,0,79.53,1,8,513.625,1.9038461538461533,2,1945994
591,1,575,99,100,1745.0,613,625,APTOS,Produtor_0288,Lancamento_2194,Empreendedor,365.0,Medio,11325-110,SP,Cidade_5387,1961-04-29,64,Credito Acessivel,559.44,6.0,3.0,1,1,0,93.24,1,8,543.625,0.9801980198019802,1,1946007
625,1,604,99,25,4483.0,535,579,APTOS,Produtor_0859,Lancamento_2148,Empreendedor,317.0,Medio,08830-765,SP,Cidade_3306,1981-09-13,44,Credito Acessivel,1196.58,6.0,3.0,1,1,0,199.43,1,8,868.875,3.807692307692308,1,1944987
625,2,625,2,90,7497.0,625,625,APTOS,Produtor_0103,Lancamento_0887,Empreendedor,200.0,Alto,79116-482,MS,Cidade_1031,1982-04-15,43,Credito Acessivel,312.64,2.0,3.0,1,1,0,156.32,1,8,1261.375,0.0219780219780219,2,1946017
531,1,517,99,40,1998.0,510,514,APTOS,Produtor_1925,Lancamento_2365,Outros,247.0,Alto,89809-874,SC,Cidade_1302,1987-10-16,38,Credito Acessivel,877.91,11.0,3.0,1,1,0,79.81,1,8,526.25,2.414634146341464,2,1945559
573,3,509,2,80,28575.0,511,500,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,161.0,Alto,21853053,RJ,Cidade_4446,1975-08-27,50,Credito Acessivel,2988.0,12.0,3.0,1,1,0,249.0,1,8,3844.125,0.0246913580246913,2,856693
540,3,552,99,25,1494.0,540,535,APTOS,Produtor_1446,Lancamento_3392,Outros,296.0,Alto,39300-000,MG,Cidade_5267,1998-05-28,27,Credito Acessivel,347.32,4.0,3.0,1,1,0,86.83,1,8,473.5,3.807692307692308,2,1946018
638,2,742,2,100,43736.0,683,607,APTOS,Produtor_0103,Lancamento_0887,Empreendedor,287.0,Outros,05707-001,SP,Cidade_5362,1977-02-18,48,Credito Acessivel,312.64,2.0,3.0,1,1,0,156.32,1,8,5813.75,0.0198019801980198,-1,1946022
625,3,625,99,63,9406.0,625,625,APTOS,Produtor_2048,Lancamento_4940,Mentoria,222.0,Alto,49045250,SE,Cidade_0293,1973-09-21,52,Credito Acessivel,1773.72,9.0,3.0,1,1,0,197.08,1,8,1508.875,1.546875,2,1946023
525,2,490,99,53,2722.0,534,550,APTOS,Produtor_0111,Lancamento_3912,Emagrecimento,292.0,Alto,36610-000,MG,Cidade_3944,1994-03-29,31,Credito Acessivel,687.51,9.0,3.0,1,1,0,76.39,1,8,621.875,1.8333333333333333,2,1902165
645,7,595,99,90,6768.0,582,566,APTOS,Produtor_1042,Lancamento_0270,Outros,571.0,Medio,06330-000,SP,Cidade_1154,1987-01-07,39,Credito Acessivel,1189.92,12.0,3.0,1,1,0,99.16,1,8,1169.0,1.0879120879120878,1,1946026
625,1,625,2,100,4858.0,625,551,APTOS,Produtor_1513,Lancamento_0513,Outros,467.0,Medio,04112-011,SP,Cidade_5362,1985-03-05,40,Credito Acessivel,1365.28,2.0,3.0,1,1,0,682.64,1,8,923.375,0.0198019801980198,1,1946027
432,1,433,99,12,3500.0,488,506,APTOS,Produtor_0504,Lancamento_4419,Mentoria,141.0,Alto,76963-726,RO,Cidade_0930,2001-05-25,24,Credito Acessivel,1807.92,12.0,4.0,1,2,0,150.66,1,8,683.875,7.615384615384615,2,1845468
553,1,461,99,70,3500.0,526,510,APTOS,Produtor_1079,Lancamento_0283,Outros,163.0,Alto,02809-080,SP,Cidade_5362,1983-03-18,42,Credito Acessivel,2230.56,12.0,4.0,1,2,0,185.88,1,8,715.0,1.3943661971830985,2,1946035
625,1,587,99,100,2480.0,595,576,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,283.0,Alto,30670-050,MG,Cidade_0462,1976-05-21,49,Credito Acessivel,1792.8,12.0,4.0,1,2,0,149.4,1,8,632.875,0.9801980198019802,2,1946039
625,7,625,2,76,12643.0,625,625,APTOS,Produtor_0351,Lancamento_0459,Outros,692.0,Baixo,71687-684,DF,Cidade_0764,1972-12-25,53,Credito Acessivel,1485.57,12.0,4.0,1,2,0,123.7975,1,8,1903.5,0.0259740259740259,0,1945838
596,1,601,99,60,1932.0,558,536,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,254.0,Alto,89270000,SC,Cidade_2087,1995-03-06,30,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,547.875,1.6229508196721312,2,1946042
510,1,496,99,100,1995.0,467,448,APTOS,Produtor_0416,Lancamento_2169,Outros,240.0,Alto,87180-000,PR,Cidade_4215,1997-08-15,28,Credito Acessivel,3723.24,12.0,4.0,1,2,0,310.27,1,8,514.5,0.9801980198019802,2,1833222
568,8,487,2,98,10702.0,563,625,APTOS,Produtor_1958,Lancamento_3690,Empreendedor,312.0,Medio,39402738,MG,Cidade_3346,1968-06-01,57,Credito Acessivel,2113.44,12.0,4.0,1,2,0,176.12,1,8,1631.625,0.0202020202020202,1,1892088
526,1,525,99,73,2074.0,528,490,APTOS,Produtor_0416,Lancamento_2870,Outros,44.0,Alto,14840-007,SP,Cidade_2110,1999-06-13,26,Credito Acessivel,4343.76,12.0,4.0,1,2,0,361.98,1,8,539.5,1.337837837837838,2,1906022
511,6,459,2,100,9501.0,466,557,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,292.0,Alto,73020012,DF,Cidade_0764,1956-06-28,69,Antecipacao Produtor,2988.0,12.0,4.0,1,2,0,249.0,1,8,1450.25,0.0198019801980198,2,1945415
651,1,599,99,77,4131.0,587,558,APTOS,Produtor_1550,Lancamento_0500,Autodesenvolvimento,286.0,Alto,18401-000,SP,Cidade_2502,1996-05-17,29,Credito Acessivel,3225.36,12.0,4.0,1,2,0,268.78000000000003,1,8,837.875,1.2692307692307692,2,1945852
483,1,500,99,82,1621.0,502,521,APTOS,Produtor_1651,Lancamento_4550,Outros,218.0,Alto,75650-000,GO,Cidade_3359,1996-12-26,29,Credito Acessivel,1361.52,12.0,4.0,1,2,0,113.46,1,8,476.125,1.1927710843373494,2,1945724
531,2,508,99,73,1800.0,590,625,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,555.0,Medio,74630-280,GO,Cidade_2012,1993-06-08,32,Credito Acessivel,853.26,3.0,4.0,1,2,0,284.42,1,8,528.5,1.337837837837838,1,1945738
604,1,560,99,84,4676.0,527,499,APTOS,Produtor_2068,Lancamento_4613,Autodesenvolvimento,233.0,Alto,4376110,SP,Cidade_5362,1983-07-14,42,Credito Acessivel,973.39,11.0,4.0,1,2,0,88.49,1,8,881.25,1.1647058823529413,2,1945742
625,7,619,99,75,7476.0,611,625,APTOS,Produtor_1709,Lancamento_2158,Autoconhecimento,343.0,Medio,12227300,SP,Cidade_5309,1996-04-30,29,Credito Acessivel,2482.2,12.0,4.0,1,2,0,206.85,1,8,1267.125,1.3026315789473684,1,1940927
625,1,625,99,100,1983.0,625,617,APTOS,Produtor_0300,Lancamento_0321,Financeiro,57.0,Alto,78110115,MT,Cidade_5877,1996-10-23,29,Credito Acessivel,1067.4,3.0,4.0,1,2,0,355.8,1,8,584.375,0.9801980198019802,2,1942958
625,7,625,99,100,699.0,625,625,APTOS,Produtor_0215,Lancamento_3438,Outros,364.0,Medio,45700-000,BA,Cidade_2499,1975-09-26,50,Credito Acessivel,824.22,9.0,4.0,1,2,0,91.58,1,8,425.625,0.9801980198019802,1,1726099
594,7,538,99,100,4776.0,552,585,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,300.0,Alto,88450-000,SC,Cidade_0119,1979-09-22,46,Credito Acessivel,1719.18,9.0,4.0,1,2,0,191.02,1,8,906.375,0.9801980198019802,2,1944671
773,2,720,99,81,3996.0,702,690,APTOS,Produtor_0586,Lancamento_0412,Autoconhecimento,606.0,Medio,19804580,SP,Cidade_0412,1989-06-22,36,Credito Acessivel,2396.04,12.0,4.0,1,2,0,199.67,1,8,882.875,1.2073170731707317,1,1946050
519,2,600,99,56,1996.0,562,516,APTOS,Produtor_0562,Lancamento_4759,Autodesenvolvimento,206.0,Alto,09932-100,SP,Cidade_1624,1987-05-27,38,Credito Acessivel,2562.99,10.0,4.0,1,2,0,256.299,1,8,543.75,1.736842105263158,2,1945705
610,3,622,99,46,1703.0,595,625,APTOS,Produtor_1849,Lancamento_0628,Outros,438.0,Medio,59133-365,RN,Cidade_3431,1999-12-06,26,Credito Acessivel,1241.04,12.0,4.0,1,2,0,103.42,1,8,537.875,2.106382978723404,1,1945924
625,4,606,99,80,4443.0,592,622,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,381.0,Medio,13471-255,SP,Cidade_0016,1974-02-06,51,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,883.875,1.2222222222222223,1,1946053
625,2,625,99,100,2396.0,623,622,APTOS,Produtor_2291,Lancamento_0425,Outros,325.0,Medio,65073-800,MA,Cidade_5338,1981-12-28,44,Credito Acessivel,2730.36,12.0,4.0,1,2,0,227.53,1,8,636.5,0.9801980198019802,1,1853221
601,2,482,2,87,12253.0,543,541,APTOS,Produtor_0048,Lancamento_0185,Outros,313.0,Medio,41338-220,BA,Cidade_4592,1967-05-20,58,Credito Acessivel,1736.14,12.0,4.0,1,2,0,144.67833333333334,1,8,1813.875,0.0227272727272727,1,1946055
599,1,568,99,39,6598.0,548,571,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,339.0,Medio,02037-001,SP,Cidade_4998,1985-10-02,40,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,1127.875,2.475,1,1946067
511,2,444,99,71,500.0,495,493,APTOS,Produtor_0634,Lancamento_4018,Outros,210.0,Alto,97650-000,RS,Cidade_2533,1993-07-27,32,Credito Acessivel,4906.96,13.0,4.0,1,2,0,377.4584615384616,1,8,326.875,1.375,2,1944906
681,2,668,99,100,4432.0,681,696,APTOS,Produtor_1774,Lancamento_4693,Autoconhecimento,681.0,Baixo,2169000,SP,Cidade_5362,1974-07-07,51,Credito Acessivel,264.18,3.0,4.0,1,2,0,88.06,1,8,919.875,0.9801980198019802,0,1946054
558,1,569,99,100,1521.0,574,500,APTOS,Produtor_1167,Lancamento_4075,Emagrecimento,670.0,Baixo,39740-000,MG,Cidade_2069,1997-09-06,28,Credito Acessivel,540.0,4.0,4.0,1,2,0,135.0,1,8,490.25,0.9801980198019802,0,1945959
625,1,625,99,68,2690.0,625,610,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,269.0,Alto,28941348,RJ,Cidade_5364,1976-12-20,49,Antecipacao Produtor,2988.0,12.0,4.0,1,2,0,249.0,1,8,667.875,1.434782608695652,2,1941544
688,1,673,2,99,5895.0,631,552,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,652.0,Baixo,88372-124,SC,Cidade_3436,1978-02-18,47,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,1067.625,0.02,0,1946071
676,9,701,99,100,2379.0,652,682,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,943.0,Baixo,03524-010,SP,Cidade_4998,1967-11-08,58,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,662.25,0.9801980198019802,0,1946068
609,2,675,99,998,3082.0,619,569,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,518.0,Medio,38300-004,MG,Cidade_2194,1987-10-12,38,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,831.625,0.0990990990990991,1,1946076
726,1,662,99,91,7654.0,660,631,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,636.0,Medio,31270-310,MG,Cidade_0462,1986-04-09,39,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,1315.5,1.076086956521739,1,1946072
577,1,528,99,998,7483.0,577,594,APTOS,Produtor_2096,Lancamento_3965,Autoconhecimento,501.0,Medio,44642-000,BA,Cidade_3518,1995-03-28,30,Credito Acessivel,1613.4,12.0,4.0,1,2,0,134.45000000000002,1,8,1357.125,0.0990990990990991,1,1946082
573,2,528,99,18,2936.0,568,576,APTOS,Produtor_1745,Lancamento_4528,Emagrecimento,186.0,Alto,18055-722,SP,Cidade_4970,1986-06-26,39,Credito Acessivel,569.8,7.0,4.0,1,2,0,81.39999999999999,1,8,662.5,5.2105263157894735,2,1946080
538,1,493,99,13,2187.0,519,451,APTOS,Produtor_1167,Lancamento_4042,Emagrecimento,172.0,Alto,29111850,ES,Cidade_5822,1985-07-20,40,Credito Acessivel,1237.32,12.0,4.0,1,2,0,103.11,1,8,537.625,7.071428571428571,2,1946084
658,7,691,2,100,10992.0,693,762,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,781.0,Baixo,04166-003,SP,Cidade_4998,1977-06-01,48,Antecipacao Produtor,1792.8,12.0,4.0,1,2,0,149.4,1,8,1738.125,0.0198019801980198,0,1945923
596,5,562,99,45,2567.0,549,504,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,133.0,Alto,17015361,SP,Cidade_0599,1973-11-17,52,Credito Acessivel,1792.8,12.0,4.0,1,2,0,149.4,1,8,615.875,2.152173913043478,2,1946079
592,4,583,99,61,2278.0,572,563,APTOS,Produtor_0683,Lancamento_0232,Autoconhecimento,231.0,Alto,28300-000,RJ,Cidade_2495,2002-11-03,23,Credito Acessivel,2988.0,12.0,4.0,1,2,0,249.0,1,8,594.0,1.596774193548387,2,1945515
